tournament_id,tournament_name,tournament_date,tournament_type,country,total_players,deck_name,deck_slug,pokemon,player_count,share_pct,wins,losses,ties,win_pct,top8_conv_rate,top16_conv_rate,top32_conv_rate,day1_players,day1_share_pct,day1_wins,day1_losses,day1_ties,day1_win_pct,day2_players,day2_share_pct,day2_wins,day2_losses,day2_ties,day2_win_pct,day1_to_day2_conv,scraped_at
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult,dragapult-ex,dragapult,188,13.75,751,634,248,51.05,0.0,0.0,0.0,188,13.7527,635,526,222,51.2654,50,19.6078,116,108,26,49.8667,0.266,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Blaziken,dragapult-blaziken,"dragapult, blaziken",143,10.46,494,477,203,47.84,0.0,0.0,0.0,143,10.4609,444,431,187,47.6773,22,8.6275,50,46,16,49.4048,0.1538,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Cynthia's Garchomp,cynthia-garchomp-ex,garchomp,86,6.29,309,307,85,48.12,0.0,0.0,0.0,86,6.2911,277,262,79,49.0831,16,6.2745,32,45,6,40.9639,0.186,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Alakazam Dudunsparce,alakazam-dudunsparce,"alakazam, dudunsparce",83,6.07,272,289,98,46.23,0.0,0.0,0.0,83,6.0717,255,270,93,46.2783,8,3.1373,17,19,5,45.5285,0.0964,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Rocket's Mewtwo,rocket-mewtwo-ex,"mewtwo, spidops",82,6.0,332,289,106,50.53,0.0,0.0,0.0,82,5.9985,291,238,98,51.6215,20,7.8431,41,51,8,43.6667,0.2439,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,N's Zoroark,n-zoroark,zoroark,79,5.78,222,270,91,43.28,0.0,0.0,0.0,79,5.7791,201,247,87,42.9907,10,3.9216,21,23,4,46.5278,0.1266,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Lucario Hariyama,lucario-hariyama,"lucario-mega, hariyama",76,5.56,231,301,59,42.41,0.0,0.0,0.0,76,5.5596,214,280,57,42.2868,8,3.1373,17,21,2,44.1667,0.1053,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Dragapult Dusknoir,dragapult-dusknoir,"dragapult, dusknoir",71,5.19,244,287,69,44.5,0.0,0.0,0.0,71,5.1939,220,246,63,45.5577,14,5.4902,24,41,6,36.6197,0.1972,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Ogerpon Meganium,ogerpon-meganium,"ogerpon, meganium",66,4.83,256,234,76,49.71,0.0,0.0,0.0,66,4.8281,223,194,68,50.6529,16,6.2745,33,40,8,44.0329,0.2424,2026-05-01 23:26:04
0062,Regional Championship Prague,2026-04-25,regional,CZ,1367,Raging Bolt Ogerpon,raging-bolt-ogerpon,"raging-bolt, ogerpon",55,4.02,192,190,50,48.3,0.0,0.0,0.0,55,4.0234,177,178,45,48.0,6,2.3529,15,12,5,52.0833,0.1091,2026-05-01 23:26:04
