series,gallery_number,set_code,set_number,name_de,name_en,image_url_de,image_url_en
7,87,SCR,142,Funkelnder Kristall,Sparkling Crystal,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_87-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_87-2x.png
7,88,SSP,189,Terakristall-Orb,Tera Orb,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_88-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_88-2x.png
7,89,SVE,9,Basis-Pflanzen-Energie,Basic Grass Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_89-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_89-2x.png
7,90,SVE,10,Basis-Feuer-Energie,Basic Fire Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_90-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_90-2x.png
7,91,SVE,11,Basis-Wasser-Energie,Basic Water Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_91-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_91-2x.png
7,92,SVE,12,Basis-Elektro-Energie,Basic Lightning Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_92-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_92-2x.png
7,93,SVE,13,Basis-Psycho-Energie,Basic Psychic Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_93-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_93-2x.png
7,94,SVE,14,Basis-Kampf-Energie,Basic Fighting Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_94-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_94-2x.png
7,95,SVE,15,Basis-Finsternis-Energie,Basic Darkness Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_95-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_95-2x.png
7,96,SVE,16,Basis-Metall-Energie,Basic Metal Energy,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/de-de/OP_Prize_SE7_DE_96-2x.png,https://d1wx537rtdixyy.cloudfront.net/expansions/series7/en-us/OP_Prize_SE7_EN_96-2x.png
