rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
105;Zoroark Lucario;2;0.01%;0,01;5;5;0;50.00%;50,0
106;Okidogi;2;0.01%;0,01;5;5;0;50.00%;50,0
107;Luxray;2;0.01%;0,01;3;5;0;37.50%;37,5
108;Iron Thorns;2;0.01%;0,01;2;5;0;28.57%;28,57
109;Scovillain;2;0.01%;0,01;2;6;0;25.00%;25,0
110;Mega Manectric;2;0.01%;0,01;3;10;0;23.08%;23,08
111;Incineroar;1;0.01%;0,01;4;4;0;50.00%;50,0
112;Mega Sharpedo;1;0.01%;0,01;3;5;0;37.50%;37,5
113;Milotic;1;0.01%;0,01;3;5;0;37.50%;37,5
114;Raging Bolt;1;0.01%;0,01;1;3;0;25.00%;25,0
115;Tyranitar;1;0.01%;0,01;0;3;0;0.00%;0,0
116;Gengar;1;0.01%;0,01;0;2;0;0.00%;0,0
117;Toxtricity Brute Bonnet;1;0.01%;0,01;0;2;0;0.00%;0,0
118;Zoroark Crustle;1;0.01%;0,01;0;2;0;0.00%;0,0
119;Gholdengo Lunatone;1;0.01%;0,01;0;2;0;0.00%;0,0
