meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
Meta Live;;Feraligatr;Dunsparce;MC 574;4;2;1;20;5,0;MC;;574;;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_574_R_EN_LG.png;No
Meta Live;;Feraligatr;Mega Audino ex;ASC 172;2;2;1;20;5,0;ASC;;172;Double Rare;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_172_R_EN_LG.png;No
Meta Live;;Feraligatr;Mega Lopunny ex;MC 594;1;1;1;20;5,0;MC;;594;;C Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_594_R_EN_LG.png;No
Meta Live;;Feraligatr;Relicanth;TEF 84;33;2;18;20;90,0;;;;;;;No
Meta Live;;Feraligatr;Water Energy;SVE 19;96;7;20;20;100,0;SVE;SVE;19;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_019_R_EN_LG.png;No
Meta Live;;Feraligatr;Darkness Energy;SVE 23;57;3;19;20;95,0;SVE;SVE;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png;No
Meta Live;;Feraligatr;Fighting Energy;SVE 22;1;1;1;20;5,0;SVE;SVE;22;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_022_R_EN_LG.png;No
Meta Live;;Feraligatr;Buddy-Buddy Poffin;ASC 184;33;4;20;20;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
Meta Live;;Feraligatr;Night Stretcher;ASC 196;29;2;19;20;95,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No
Meta Live;;Feraligatr;Ultra Ball;ASC 213;22;4;14;20;70,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
Meta Live;;Feraligatr;Poké Pad;ASC 198;19;4;6;20;30,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
Meta Live;;Feraligatr;Rare Candy;MC 655;11;4;5;20;25,0;MC;;655;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_655_R_EN_LG.png;No
Meta Live;;Feraligatr;Energy Switch;MC 638;2;1;2;20;10,0;MC;;638;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_638_R_EN_LG.png;No
Meta Live;;Feraligatr;Mega Signal;ASC 193;3;2;2;20;10,0;ASC;;193;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_193_R_EN_LG.png;No
Meta Live;;Feraligatr;Energy Search;MC 639;1;1;1;20;5,0;MC;;639;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_639_R_EN_LG.png;No
Meta Live;;Feraligatr;Hyper Aroma;MC 650;1;1;1;20;5,0;MC;;650;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_650_R_EN_LG.png;Yes
Meta Live;;Feraligatr;Ignition Energy;MC 736;2;2;1;20;5,0;MC;;736;;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_736_R_EN_LG.png;No
Meta Live;;Feraligatr;Team Rocket's Watchtower;ASC 210;3;2;2;20;10,0;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No
Meta Live;;Feraligatr;Lillie's Determination;ASC 192;52;4;20;20;100,0;ASC;;192;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_192_R_EN_LG.png;No
Meta Live;;Feraligatr;Crispin;MC 696;26;3;19;20;95,0;MC;;696;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_696_R_EN_LG.png;No
Meta Live;;Feraligatr;Boss's Orders;ASC 183;25;2;17;20;85,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
Meta Live;;Feraligatr;Hilda;MC 718;9;3;3;20;15,0;MC;;718;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_718_R_EN_LG.png;No
Meta Live;;Feraligatr;Ciphermaniac's Codebreaking;MC 698;2;2;1;20;5,0;MC;;698;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_698_R_EN_LG.png;No
Meta Live;;Feraligatr;Lucian;MC 707;3;3;1;20;5,0;MC;;707;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_707_R_EN_LG.png;No
Meta Live;;Feraligatr;Surfer;ASC 200;1;1;1;20;5,0;ASC;;200;Common;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_200_R_EN_LG.png;No
Meta Live;;Feraligatr;Air Balloon;ASC 181;15;2;9;20;45,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
Meta Live;;Feraligatr;Brave Bangle;MC 689;1;1;1;20;5,0;MC;;689;;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_689_R_EN_LG.png;No
Meta Live;;Feraligatr;Hero's Cape;MC 687;1;1;1;20;5,0;MC;;687;;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_687_R_EN_LG.png;Yes
Meta Live;;Flareon Noctowl;Fuecoco;MC 142;1;1;1;19;5,26;MC;;142;;R Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_142_R_EN_LG.png;No
Meta Live;;Flareon Noctowl;Skeledirge ex;MC 144;1;1;1;19;5,26;MC;;144;;R Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_144_R_EN_LG.png;No
Meta Live;;Flareon Noctowl;Moltres;PFL 14;1;1;1;19;5,26;;;;;;;No
Meta Live;;Froslass Munkidori;Team Rocket's Watchtower;ASC 210;1;1;1;19;5,26;ASC;;210;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_210_R_EN_LG.png;No
Meta Live;;Gholdengo;Cornerstone Mask Ogerpon ex;MC 428;1;1;1;17;5,88;MC;;428;;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_428_R_EN_LG.png;No
Meta Live;;Ho-Oh Armarouge;Hoopa ex;ASC 141;1;1;1;19;5,26;ASC;;141;Rare;D Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_141_R_EN_LG.png;No
Meta Live;;Hydrapple Ogerpon;Legacy Energy;MC 741;1;1;1;20;5,0;MC;;741;;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_741_R_EN_LG.png;Yes
Meta Live;;Iron Valiant;Gravity Mountain;M2a 183;2;2;1;20;5,0;M2a;;183;;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M2A/M2A_183_R_EN_LG.png;No
Meta Live;;Iron Valiant;Surfer;ASC 200;2;2;1;20;5,0;ASC;;200;Common;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_200_R_EN_LG.png;No
Meta Live;;Lucario Hariyama;Judge;MP1 22;2;2;1;19;5,26;MP1;;22;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MP1/MP1_022_R_EN_LG.png;No
Meta Live;;Manectric Eelektrik;Hero's Cape;MC 687;1;1;1;18;5,56;MC;;687;;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_687_R_EN_LG.png;Yes
Meta Live;;Mega Lucario;Toedscruel ex;MC 75;1;1;1;20;5,0;MC;;75;;G Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_075_R_EN_LG.png;No
Meta Live;;Mega Lucario;Genesect;M2a 119;1;1;1;20;5,0;M2a;;119;Double Rare;M Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M2A/M2A_119_R_EN_LG.png;No
Meta Live;;Ogerpon Meganium;Energy Search;MC 639;1;1;1;20;5,0;MC;;639;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_639_R_EN_LG.png;No
Meta Live;;Ogerpon Meganium;Cheren;ASC 258;1;1;1;20;5,0;ASC;;258;Ultra Rare;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_258_R_EN_LG.png;Yes
Meta Live;;Ogerpon Meganium;Hilda;MC 718;1;1;1;20;5,0;MC;;718;;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_718_R_EN_LG.png;No
Meta Live;;Pidgeot Control;Charmander;ASC 20;2;2;1;19;5,26;ASC;;20;Common;R Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_020_R_EN_LG.png;No
Meta Live;;Pidgeot Control;Charmeleon;ASC 21;1;1;1;19;5,26;ASC;;21;Uncommon;R Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_021_R_EN_LG.png;No
Meta Live;;Pidgeot Control;Charizard ex;OBF 125;1;1;1;19;5,26;;;;;;;No
Meta Live;;Pidgeot Control;Moltres;PFL 14;1;1;1;19;5,26;;;;;;;No
Meta Live;;Raging Bolt;Jamming Tower;ASC 261;1;1;1;19;5,26;ASC;;261;Ultra Rare;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_261_R_EN_LG.png;Yes
Meta Live;;Rocket'S Mewtwo;Hero's Cape;MC 687;1;1;1;20;5,0;MC;;687;;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_687_R_EN_LG.png;Yes
Meta Live;;Seaking Festival Lead;Lilligant;JTG 7;1;1;1;19;5,26;;;;;;;No
Meta Live;;Seaking Festival Lead;Petilil;BLK 6;1;1;1;19;5,26;;;;;;;No
Meta Live;;Sharpedo Toxtricity;Prime Catcher;MC 656;1;1;1;20;5,0;MC;;656;;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MC/MC_656_R_EN_LG.png;Yes
Meta Live;;Slaking;Team Rocket's Petrel;ASC 207;2;2;1;20;5,0;ASC;;207;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_207_R_EN_LG.png;No
Meta Live;;Crustle;Mega Heracross ex;PFL 4;1;1;1;20;5,0;PFL;;4;Double Rare;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_004_R_EN_LG.png;No
Meta Live;;Crustle;Mega Lucario ex;MEG 77;2;2;1;20;5,0;MEG;;77;Double Rare;F Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_077_R_EN_LG.png;No
Meta Live;;Crustle;Riolu;MEG 76;2;2;1;20;5,0;MEG;;76;Common;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_076_R_EN_LG.png;No
Meta Live;;Crustle;Buneary;MEG 107;1;1;1;20;5,0;MEG;;107;Common;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_107_R_EN_LG.png;No
