period;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;average_count_overall;total_decks_in_archetype;percentage_in_archetype;set_code;set_number;rarity;type;image_url;is_ace_spec;meta;tournament_id;tournament_date;date;total_decks_in_archetype_in_period
2026-W22;Ogerpon Box;Psychic Energy;EVO 95;4;2;2;2,0;0,8;5;40,0;EVO;95;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_095_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Water Energy;EVO 93;2;1;2;1,0;0,4;5;40,0;EVO;93;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_093_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Team Rocket's Mimikyu;DRI 87;1;1;1;1,0;0,2;5;20,0;DRI;87;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_087_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Psyduck;ASC 39;1;1;1;1,0;0,2;5;20,0;ASC;39;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Xerosic's Machinations;SFA 64;1;1;1;1,0;0,2;5;20,0;SFA;64;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_064_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Fire Energy;EVO 92;1;1;1;1,0;0,2;5;20,0;EVO;92;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_092_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Ogerpon Box;Fighting Energy;EVO 96;1;1;1;1,0;0,2;5;20,0;EVO;96;Common;Basic Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/EVO/EVO_096_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Dreepy;TWM 128;20;4;5;4,0;4,0;5;100,0;TWM;128;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_128_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Drakloak;TWM 129;20;4;5;4,0;4,0;5;100,0;TWM;129;Common;Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_129_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
2026-W22;Dragapult Blaziken;Dragapult ex;TWM 130;11;3;5;2,2;2,2;5;100,0;TWM;130;Double Rare;Stage 2;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_130_R_EN_LG.png;No;City League;568;6th June 2026;6th June 2026;5
