# Fenster 2026-09-18 bis 2026-09-22 (4 Tage) · 3127 Decks im Fenster · 52511 kumulativ seit Formatbeginn. count_fenster ist die Differenz zweier gemessener Kumulativstaende, keine Schaetzung. Erzeugt von scripts/build_online_fenster.py
deck_name;rank_fenster;count_fenster;share_fenster;count_kumulativ;share_kumulativ;rang_kumulativ;rang_versatz;share_vorfenster;trend_fenster
Blissey;101;0;0,0;21;0,04;101;0;;
Bloodmoon Ursaluna;102;0;0,0;3;0,01;127;25;;
Bronzong;103;0;0,0;48;0,09;78;-25;;
Cinderace;104;0;0,0;6;0,01;117;13;;
Cornerstone Mask Ogerpon;105;0;0,0;3;0,01;126;21;;
Dragapult Iron Thorns;106;0;0,0;1;0,0;136;30;;
Dragapult Zoroark;107;0;0,0;8;0,02;110;3;;
Dragonite Eelektrik;108;0;0,0;6;0,01;116;8;;
Farigiraf;109;0;0,0;2;0,0;131;22;;
Feraligatr;110;0;0,0;16;0,03;104;-6;;
Flygon;111;0;0,0;10;0,02;108;-3;;
Future Box;112;0;0,0;1;0,0;138;26;;
Galvantula;113;0;0,0;1;0,0;139;26;;
Greninja Blaziken;114;0;0,0;26;0,05;95;-19;;
Hydrapple;115;0;0,0;3;0,01;128;13;;
Hydrapple Ogerpon;116;0;0,0;5;0,01;121;5;;
Incineroar;117;0;0,0;2;0,0;130;13;;
Iron Thorns;118;0;0,0;56;0,11;71;-47;;
Jellicent Dusknoir;119;0;0,0;29;0,06;89;-30;;
Joltik Box;120;0;0,0;40;0,08;83;-37;;
Luxray;121;0;0,0;6;0,01;118;-3;;
Mega Feraligatr;122;0;0,0;46;0,09;80;-42;;
Mega Latias;123;0;0,0;8;0,02;112;-11;;
Mega Manectric;124;0;0,0;8;0,02;111;-13;;
Milotic;125;0;0,0;1;0,0;135;10;;
Okidogi;126;0;0,0;4;0,01;123;-3;;
Raging Bolt;127;0;0,0;2;0,0;132;5;;
Rocket's Porygon-Z;128;0;0,0;2;0,0;129;1;;
Rocket's Spidops;129;0;0,0;25;0,05;98;-31;;
Salamence;130;0;0,0;1;0,0;137;7;;
Scizor;131;0;0,0;13;0,02;106;-25;;
Scovillain;132;0;0,0;6;0,01;115;-17;;
Sinistcha Ogerpon;133;0;0,0;27;0,05;90;-43;;
Slaking;134;0;0,0;3;0,01;124;-10;;
Sylveon;135;0;0,0;26;0,05;94;-41;;
Toxtricity Brute Bonnet;136;0;0,0;6;0,01;114;-22;;
Tyranitar;137;0;0,0;5;0,01;120;-17;;
Zoroark Crustle;138;0;0,0;6;0,01;119;-19;;
Zoroark Lucario;139;0;0,0;1;0,0;134;-5;;
