archetype;status;trend;old_count;new_count;count_change;old_meta_share;new_meta_share;meta_share_change;old_avg_placement;new_avg_placement;avg_placement_change;old_best;new_best
Slowking Ogerpon;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;8,0;8,0;0;8
Aegislash Dudunsparce;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;3,0;3,0;0;3
Bronzong Jellicent;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;12,0;12,0;0;12
Mega Slowbro Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;12,0;12,0;0;12
Dusknoir;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;4,0;4,0;0;4
Blaziken Salamence;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;9,0;9,0;0;9
Mega Diancie Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Mega Diancie Mega Kangaskhan;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;6,0;6,0;0;6
Spidops Crobat;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;3,0;3,0;0;3
Avalugg;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;13,0;13,0;0;13
Blaziken Zoroark;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Mega Dragonite Blaziken;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Galvantula Ogerpon-Wellspring;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;6,0;6,0;0;6
Clefable Dusknoir;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;15,0;15,0;0;15
Zoroark Munkidori;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;6,0;6,0;0;6
Noctowl Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;15,0;15,0;0;15
Ceruledge Mega Lopunny;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Gourgeist Dudunsparce;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;15,0;15,0;0;15
Archaludon Meowth;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;8,0;8,0;0;8
Mega Dragalge Mega Starmie;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;13,0;13,0;0;13
Blaziken Mega Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Mega Froslass Dusknoir;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;9,0;9,0;0;9
Mega Lucario Crustle;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;4,0;4,0;0;4
Gyarados Starmie;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Mega Venusaur Mega Meganium;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;12,0;12,0;0;12
Mega Froslass Cinderace;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;13,0;13,0;0;13
Gourgeist Alakazam;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;15,0;15,0;0;15
Mega Lucario Dusknoir;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;8,0;8,0;0;8
Steven's Metagross;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Mega Froslass Grimmsnarl;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;3,0;3,0;0;3
Mega Greninja Munkidori;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Dragapult Zacian-Crowned;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Mega Kangaskhan Fezandipiti;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Dragapult Crobat;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;4,0;4,0;0;4
Mega Froslass Munkidori;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;7,0;7,0;0;7
Honchkrow Mimikyu;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Cynthia's Garchomp;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;7,0;7,0;0;7
Blaziken Mega Kangaskhan;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;9,0;9,0;0;9
Mamoswine Alakazam;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Mega Slowbro Mega Diancie;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;7,0;7,0;0;7
Arboliva Mega Froslass;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;2,0;2,0;0;2
Archaludon Genesect;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;5,0;5,0;0;5
Mega Froslass Dragapult;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;1,0;1,0;0;1
Mega Froslass Dudunsparce;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;3,0;3,0;0;3
Crustle;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Mega Floette Azumarill;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;4,0;4,0;0;4
Mega Feraligatr Dudunsparce;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Mega Lucario Farigiraf;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;9,0;9,0;0;9
Cofagrigus Mega Diancie;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;16,0;16,0;0;16
Mega Gardevoir Noctowl;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;16,0;16,0;0;16
Metagross Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Toxtricity Dudunsparce;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Azumarill Noctowl;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;15,0;15,0;0;15
Jellicent Latias;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;5,0;5,0;0;5
Mega Kangaskhan Noctowl;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;6,0;6,0;0;6
Blaziken Clefairy;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;10,0;10,0;0;10
Mega Slowbro Slowking;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;9,0;9,0;0;9
Pikachu Clefairy;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;2,0;2,0;0;2
Dragapult Clefairy;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;11,0;11,0;0;11
Mega Starmie Mega Lopunny;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;6,0;6,0;0;6
Bronzong Froslass;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;14,0;14,0;0;14
Hydreigon Mega Kangaskhan;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;3,0;3,0;0;3
Mega Zygarde Mega Audino;NEU;VERSCHLECHTERT;0;1;1;0;0,01;0,01;0;8,0;8,0;0;8
