tournament_id;name;date;meta;format;players;organizer_id;is_online;has_decklists;swiss_rounds;phases;standings_rows;pairings_rows;depth;scraped_at
6a851bbf5a3071409557425a;SEASAC League Challenge #21 (SEASON 4) [50 CODES];2026-08-23T11:30:00.000Z;TEF-PBL;STANDARD;169;2623;True;True;8;2;169;494;voll;2026-09-08T11:09:29Z
6a8132d35a30714095571ed0;Vault Of Games #6 🏆|OFF-SEASON |WEEKLY;2026-08-23T01:00:00.000Z;TEF-PBL;STANDARD;216;2226;True;True;8;1;216;527;voll;2026-09-08T11:09:31Z
6a706e672b308b6067b487cb;LING TV ARENA (Late registration Available);2026-08-22T18:30:00.000Z;TEF-PBL;STANDARD;109;2592;True;True;7;1;109;281;voll;2026-09-08T11:09:32Z
6a8729fc5a30714095575339;SEASAC League Cup #4 (SEASON 4) [150 CODES];2026-08-22T11:30:00.000Z;TEF-PBL;STANDARD;134;2623;True;True;8;2;134;389;voll;2026-09-08T11:09:34Z
6a7cce822b308b6067b523e2;TOURNAMENT OF DOOM! SEASON 3 STARTS NOW!;2026-08-22T02:35:00.000Z;TEF-PBL;STANDARD;548;349;True;True;9;2;548;1398;voll;2026-09-08T11:09:35Z
6a87870778baaa6d1c224c74;Full Bench Fridays PTCGL Cash Event $20 #10;2026-08-21T21:30:00.000Z;TEF-PBL;STANDARD;103;2705;True;True;7;2;103;241;voll;2026-09-08T11:09:37Z
6a84abd678baaa6d1c22307b;ASRcristiano # 182 - 60 codes prize pool!;2026-08-21T19:00:00.000Z;TEF-PBL;STANDARD;143;1778;True;True;8;3;143;394;voll;2026-09-08T11:09:38Z
6a85ebda5a30714095574742;NO Dragapult Tournament! CASH Prize;2026-08-21T14:00:00.000Z;TEF-PBL;STANDARD;144;2435;True;True;7;2;143;369;voll;2026-09-08T11:09:40Z
6a43872bc87cd9ff0a31356d;Oceania Open! | Season 3 - Week 8;2026-08-21T09:30:00.000Z;TEF-PBL;STANDARD;106;1659;True;True;7;2;106;268;voll;2026-09-08T11:09:41Z
6a77f30ccdc0391d7fa61541;🟢Jolly Good Weekly #3 | Top Cut! (50 Codes!);2026-08-21T00:00:00.000Z;TEF-PBL;STANDARD;137;2774;True;True;6;2;137;303;voll;2026-09-08T11:09:43Z
6a7a28522b308b6067b50584;⚡ Surge's TCG Vault Winner Takes All - 100 Codes;2026-08-20T19:00:00.000Z;TEF-PBL;STANDARD;155;2603;True;True;7;2;155;392;voll;2026-09-08T11:09:44Z
6a7f474278baaa6d1c21f248;🏆Moujii's Dojo🏆 (Late Registration Available!);2026-08-20T16:10:00.000Z;TEF-PBL;STANDARD;274;35;True;True;8;3;274;804;voll;2026-09-08T11:09:46Z
6a81a7a55a30714095572196;SEASAC League Challenge #20 (SEASON 4) [50 CODES];2026-08-20T11:30:00.000Z;TEF-PBL;STANDARD;177;2623;True;True;8;2;177;476;voll;2026-09-08T11:09:47Z
6a7d2c8a2b308b6067b528cf;REFINE Summer Series Session 8: Wartortle Edition;2026-08-19T23:30:00.000Z;TEF-PBL;STANDARD;128;2568;True;True;7;1;128;289;voll;2026-09-08T11:09:49Z
6a7cdfc5cdc0391d7fa64f38;Hideout TCG MID-WEEK Meta Clash 100 codes pitch;2026-08-19T21:15:00.000Z;TEF-PBL;STANDARD;101;2705;True;True;7;2;101;247;voll;2026-09-08T11:09:50Z
