tournament_id;tournament_name;tournament_date;players;format;cards_url;total_cards;status
423;Special Event Bologna – Limitless;1st June 2024;1008;;https://limitlesstcg.com/tournaments/423/cards;3080;success
429;Special Event Cape Town – Limitless;1st June 2024;51;;https://limitlesstcg.com/tournaments/429/cards;216;success
428;Special Event Johannesburg – Limitless;25th May 2024;80;;https://limitlesstcg.com/tournaments/428/cards;206;success
403;Regional Los Angeles, CA – Limitless;25th May 2024;2073;;https://limitlesstcg.com/tournaments/403/cards;5181;success
440;Special Event Mexico City – Limitless;25th May 2024;252;;https://limitlesstcg.com/tournaments/440/cards;419;success
441;Special Event Lima – Limitless;25th May 2024;145;;https://limitlesstcg.com/tournaments/441/cards;208;success
425;Regional Santiago – Limitless;18th May 2024;892;;https://limitlesstcg.com/tournaments/425/cards;2003;success
439;Special Event Bogotá – Limitless;12th May 2024;130;;https://limitlesstcg.com/tournaments/439/cards;85;success
437;Special Event Puerto Rico – Limitless;11th May 2024;180;;https://limitlesstcg.com/tournaments/437/cards;184;success
411;Regional Stockholm – Limitless;11th May 2024;675;;https://limitlesstcg.com/tournaments/411/cards;1850;success
402;Regional Indianapolis, IN – Limitless;4th May 2024;2342;;https://limitlesstcg.com/tournaments/402/cards;5651;success
438;Special Event Buenos Aires – Limitless;4th May 2024;160;;https://limitlesstcg.com/tournaments/438/cards;153;success
419;Regional São Paulo – Limitless;20th April 2024;1142;;https://limitlesstcg.com/tournaments/419/cards;2924;success
409;Regional Perth – Limitless;13th April 2024;257;;https://limitlesstcg.com/tournaments/409/cards;744;success
401;Regional Orlando, FL – Limitless;13th April 2024;2369;;https://limitlesstcg.com/tournaments/401/cards;5931;success
405;EUIC 2024, London – Limitless;5th April 2024;2605;;https://limitlesstcg.com/tournaments/405/cards;6710;success
400;Regional Vancouver – Limitless;23rd March 2024;985;;https://limitlesstcg.com/tournaments/400/cards;2780;success
418;Regional Goiânia – Limitless;9th March 2024;536;;https://limitlesstcg.com/tournaments/418/cards;1415;success
399;Special Event Utrecht – Limitless;2nd March 2024;860;;https://limitlesstcg.com/tournaments/399/cards;2518;success
398;Regional Dortmund – Limitless;10th February 2024;1348;;https://limitlesstcg.com/tournaments/398/cards;3442;success
397;Regional Knoxville, TN – Limitless;3rd February 2024;1367;;https://limitlesstcg.com/tournaments/397/cards;3141;success
408;Regional Melbourne – Limitless;3rd February 2024;531;;https://limitlesstcg.com/tournaments/408/cards;1272;success
396;Regional Liverpool – Limitless;27th January 2024;1518;;https://limitlesstcg.com/tournaments/396/cards;3609;success
395;Regional Charlotte, NC – Limitless;20th January 2024;2133;;https://limitlesstcg.com/tournaments/395/cards;4981;success
394;Regional Portland, OR – Limitless;6th January 2024;1498;;https://limitlesstcg.com/tournaments/394/cards;3928;success
393;Regional San Antonio, TX – Limitless;16th December 2023;1985;;https://limitlesstcg.com/tournaments/393/cards;5362;success
392;Regional Stuttgart – Limitless;9th December 2023;982;;https://limitlesstcg.com/tournaments/392/cards;2545;success
407;Regional Brisbane – Limitless;25th November 2023;388;;https://limitlesstcg.com/tournaments/407/cards;1068;success
391;Regional Gdańsk – Limitless;25th November 2023;997;;https://limitlesstcg.com/tournaments/391/cards;2663;success
404;LAIC 2023–24, São Paulo – Limitless;17th November 2023;1263;;https://limitlesstcg.com/tournaments/404/cards;3143;success
543;Regional Curitiba – Limitless;14th March 2026;1449;;https://limitlesstcg.com/tournaments/543/cards;6791;success
