set,number,name,rarity,version,price_eur,cardmarket_url
SP,11,Wooloo,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Wooloo-V3-SP11?language=1,3&minCondition=2"
SP,12,Morpeko,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V1-SP12?language=1,3&minCondition=2"
SP,12,Morpeko,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V2-SP12?language=1,3&minCondition=2"
SP,12,Morpeko,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Morpeko-V3-SP12?language=1,3&minCondition=2"
SP,13,Galarian Ponyta,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Galarian-Ponyta-V1-SP13?language=1,3&minCondition=2"
SP,13,Galarian Ponyta,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Galarian-Ponyta-V2-SP13?language=1,3&minCondition=2"
SP,13,Galarian Ponyta,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Galarian-Ponyta-V3-SP13?language=1,3&minCondition=2"
SP,14,Rillaboom V,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Rillaboom-V-V1-SP14?language=1,3&minCondition=2"
SP,14,Rillaboom V,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Rillaboom-V-V2-SP14?language=1,3&minCondition=2"
SP,14,Rillaboom V,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Rillaboom-V-V3-SP14?language=1,3&minCondition=2"
SP,15,Cinderace V,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Cinderace-V-V1-SP15?language=1,3&minCondition=2"
SP,15,Cinderace V,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Cinderace-V-V2-SP15?language=1,3&minCondition=2"
SP,15,Cinderace V,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Cinderace-V-V3-SP15?language=1,3&minCondition=2"
SP,16,Inteleon V,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Inteleon-V-V1-SP16?language=1,3&minCondition=2"
SP,16,Inteleon V,,2,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Inteleon-V-V2-SP16?language=1,3&minCondition=2"
SP,16,Inteleon V,,3,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Inteleon-V-V3-SP16?language=1,3&minCondition=2"
SP,17,Toxtricity V,,1,,"https://www.cardmarket.com/de/Pokemon/Products/Singles/Sword-&-Shield-Promos/Toxtricity-V-V1-SP17?language=1,3&minCondition=2"
