tournament_id;date;meta;archetype_id;opponent_id;wins;losses;ties;matches;win_rate;win_rate_convention
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;lopunny-dusknoir;cynthia-garchomp-ex;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;dragapult-ex;festival-lead;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;festival-lead;dragapult-ex;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;cynthia-garchomp-ex;rockets-honchkrow;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;rockets-honchkrow;cynthia-garchomp-ex;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;hops-trevenant;mega-excadrill-ex;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;mega-excadrill-ex;hops-trevenant;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;azumarill-ssp;dragapult-blaziken;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;dragapult-blaziken;azumarill-ssp;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;stevens-metagross;mega-lucario-ex;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;mega-lucario-ex;stevens-metagross;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;mega-darkrai-ex;rocket-mewtwo-ex;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;rocket-mewtwo-ex;mega-darkrai-ex;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;lucario-hariyama;dhelmise-pbl;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;dhelmise-pbl;lucario-hariyama;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;greninja-ex;dragapult-dusknoir;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;dragapult-dusknoir;greninja-ex;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;alakazam-dudunsparce;crustle-dri;2;3;0;5;0.4;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;crustle-dri;alakazam-dudunsparce;3;2;0;5;0.6;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;crustle-dri;n-zoroark;2;1;0;3;0.666667;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;n-zoroark;crustle-dri;1;2;0;3;0.333333;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;dhelmise-pbl;toxtricity-box;0;1;0;1;0.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;toxtricity-box;dhelmise-pbl;1;0;0;1;1.0;mitUnentschieden
6aab44c138886b36383c21bf;2026-09-18;TEF-30C;sharpedo-toxtricity;mega-venusaur-ex;0;1;0;1;0.0;mitUnentschieden
