meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec
City League;04 Mar 26;Alakazam Dudunsparce;Lana's Aid;TWM 155;1;1;1;1;100,0;TWM;;155;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_155_R_EN_LG.png;No
City League;04 Mar 26;Alakazam Dudunsparce;Air Balloon;ASC 181;2;2;1;1;100,0;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Ceruledge ex;SSP 36;9;3;3;3;100,0;SSP;;36;Double Rare;R Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_036_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Charcadet;SSP 32;12;4;3;3;100,0;SSP;;32;Common;R Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_032_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Lunatone;MEG 74;6;2;3;3;100,0;MEG;;74;Rare;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_074_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Solrock;MEG 75;6;2;3;3;100,0;MEG;;75;Uncommon;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_075_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Drilbur;TEF 85;1;1;1;3;33,33;TEF;;85;Common;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_085_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Fezandipiti ex;ASC 142;3;1;3;3;100,0;ASC;;142;Double Rare;D Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Meowth ex;M3 61;2;1;2;3;66,67;M3;;61;Double Rare;C Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/M3/M3_061_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Fighting Energy;SVE 22;37;14;3;3;100,0;SVE;;22;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_022_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Fire Energy;SVE 18;20;7;3;3;100,0;SVE;;18;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_018_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Fighting Gong;ASC 187;12;4;3;3;100,0;ASC;;187;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_187_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Night Stretcher;ASC 196;9;3;3;3;100,0;ASC;;196;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_196_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Poké Pad;ASC 198;9;3;3;3;100,0;ASC;;198;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_198_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Ultra Ball;ASC 213;12;4;3;3;100,0;ASC;;213;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_213_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Brilliant Blender;SSP 164;2;1;2;3;66,67;SSP;;164;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_164_R_EN_LG.png;Yes
City League;04 Mar 26;Ceruledge;Blowtorch;PFL 86;1;1;1;3;33,33;PFL;;86;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_086_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Switch;MEG 130;1;1;1;3;33,33;MEG;;130;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_130_R_EN_LG.png;Yes
City League;04 Mar 26;Ceruledge;Mist Energy;TEF 161;3;2;2;3;66,67;TEF;;161;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_161_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Legacy Energy;TWM 167;1;1;1;3;33,33;TWM;;167;Ultra Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_167_R_EN_LG.png;Yes
City League;04 Mar 26;Ceruledge;Battle Cage;PFL 85;1;1;1;3;33,33;PFL;;85;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PFL/PFL_085_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Jamming Tower;TWM 153;1;1;1;3;33,33;TWM;;153;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_153_R_EN_LG.png;Yes
City League;04 Mar 26;Ceruledge;Boss's Orders;ASC 183;8;3;3;3;100,0;ASC;;183;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_183_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Briar;PRE 100;3;1;3;3;100,0;PRE;;100;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_100_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Carmine;PRE 103;12;4;3;3;100,0;PRE;;103;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_103_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Explorer's Guidance;PRE 107;7;3;3;3;100,0;PRE;;107;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_107_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Ciphermaniac's Codebreaking;PRE 104;1;1;1;3;33,33;PRE;;104;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_104_R_EN_LG.png;No
City League;04 Mar 26;Ceruledge;Air Balloon;ASC 181;1;1;1;3;33,33;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Crustle;DRI 12;3;3;1;1;100,0;DRI;;12;Rare;G Stage 1;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_012_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Dwebble;DRI 11;3;3;1;1;100,0;DRI;;11;Common;G Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_011_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Psyduck;ASC 39;1;1;1;1;100,0;ASC;;39;Common;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Team Rocket's Articuno;DRI 51;1;1;1;1;100,0;DRI;;51;Rare;W Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/DRI/DRI_051_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Fezandipiti;TWM 96;2;2;1;1;100,0;TWM;;96;Rare;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_096_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Munkidori;TWM 95;4;4;1;1;100,0;TWM;;95;Rare;P Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_095_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Cornerstone Mask Ogerpon ex;TWM 112;1;1;1;1;100,0;TWM;;112;Double Rare;F Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_112_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Darkness Energy;SVE 23;4;4;1;1;100,0;SVE;;23;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_023_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Fighting Energy;SVE 22;1;1;1;1;100,0;SVE;;22;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_022_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Grass Energy;SVE 17;2;2;1;1;100,0;SVE;;17;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_017_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Psychic Energy;SVE 21;2;2;1;1;100,0;SVE;;21;Basic Energy;Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SVE/SVE_021_R_EN_LG.png;No
City League;04 Mar 26;Crustle Munkidori;Buddy-Buddy Poffin;ASC 184;2;2;1;1;100,0;ASC;;184;Common;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_184_R_EN_LG.png;No
