set,number,url,product_id_in_url,lang
AOR,22,https://pokepricelab.com/it/catalog/ancient-origins-vaporeon-22,,it
AOR,23,https://pokepricelab.com/catalog/ancient-origins-relicanth-23,,
AOR,23,https://pokepricelab.com/de/catalog/ancient-origins-relicanth-23,,de
AOR,23,https://pokepricelab.com/es/catalog/ancient-origins-relicanth-23,,es
AOR,23,https://pokepricelab.com/fr/catalog/ancient-origins-relicanth-23,,fr
AOR,23,https://pokepricelab.com/it/catalog/ancient-origins-relicanth-23,,it
AOR,24,https://pokepricelab.com/catalog/ancient-origins-regice-24,,
AOR,24,https://pokepricelab.com/de/catalog/ancient-origins-regice-24,,de
AOR,24,https://pokepricelab.com/es/catalog/ancient-origins-regice-24,,es
AOR,24,https://pokepricelab.com/fr/catalog/ancient-origins-regice-24,,fr
AOR,24,https://pokepricelab.com/it/catalog/ancient-origins-regice-24,,it
AOR,25,https://pokepricelab.com/catalog/ancient-origins-kyurem-ex-25,,
AOR,25,https://pokepricelab.com/de/catalog/ancient-origins-kyurem-ex-25,,de
AOR,25,https://pokepricelab.com/es/catalog/ancient-origins-kyurem-ex-25,,es
AOR,25,https://pokepricelab.com/fr/catalog/ancient-origins-kyurem-ex-25,,fr
AOR,25,https://pokepricelab.com/it/catalog/ancient-origins-kyurem-ex-25,,it
AOR,26,https://pokepricelab.com/catalog/ancient-origins-jolteon-26,,
AOR,26,https://pokepricelab.com/de/catalog/ancient-origins-jolteon-26,,de
AOR,26,https://pokepricelab.com/es/catalog/ancient-origins-jolteon-26,,es
AOR,26,https://pokepricelab.com/fr/catalog/ancient-origins-jolteon-26,,fr
AOR,26,https://pokepricelab.com/it/catalog/ancient-origins-jolteon-26,,it
AOR,27,https://pokepricelab.com/catalog/ancient-origins-ampharos-ex-27,,
AOR,27,https://pokepricelab.com/de/catalog/ancient-origins-ampharos-ex-27,,de
AOR,27,https://pokepricelab.com/es/catalog/ancient-origins-ampharos-ex-27,,es
AOR,27,https://pokepricelab.com/fr/catalog/ancient-origins-ampharos-ex-27,,fr
AOR,27,https://pokepricelab.com/it/catalog/ancient-origins-ampharos-ex-27,,it
AOR,28,https://pokepricelab.com/catalog/ancient-origins-mampharos-ex-28,,
AOR,28,https://pokepricelab.com/de/catalog/ancient-origins-mampharos-ex-28,,de
AOR,28,https://pokepricelab.com/es/catalog/ancient-origins-mampharos-ex-28,,es
AOR,28,https://pokepricelab.com/fr/catalog/ancient-origins-mampharos-ex-28,,fr
AOR,28,https://pokepricelab.com/it/catalog/ancient-origins-mampharos-ex-28,,it
AOR,29,https://pokepricelab.com/catalog/ancient-origins-rotom-29,,
AOR,29,https://pokepricelab.com/de/catalog/ancient-origins-rotom-29,,de
AOR,29,https://pokepricelab.com/es/catalog/ancient-origins-rotom-29,,es
AOR,29,https://pokepricelab.com/fr/catalog/ancient-origins-rotom-29,,fr
AOR,29,https://pokepricelab.com/it/catalog/ancient-origins-rotom-29,,it
AOR,3,https://pokepricelab.com/catalog/ancient-origins-vileplume-3,,
AOR,3,https://pokepricelab.com/de/catalog/ancient-origins-vileplume-3,,de
AOR,3,https://pokepricelab.com/es/catalog/ancient-origins-vileplume-3,,es
AOR,3,https://pokepricelab.com/fr/catalog/ancient-origins-vileplume-3,,fr
AOR,3,https://pokepricelab.com/it/catalog/ancient-origins-vileplume-3,,it
AOR,30,https://pokepricelab.com/catalog/ancient-origins-unown-30,,
AOR,30,https://pokepricelab.com/de/catalog/ancient-origins-unown-30,,de
AOR,30,https://pokepricelab.com/es/catalog/ancient-origins-unown-30,,es
AOR,30,https://pokepricelab.com/fr/catalog/ancient-origins-unown-30,,fr
AOR,30,https://pokepricelab.com/it/catalog/ancient-origins-unown-30,,it
AOR,31,https://pokepricelab.com/catalog/ancient-origins-baltoy-31,,
AOR,31,https://pokepricelab.com/de/catalog/ancient-origins-baltoy-31,,de
AOR,31,https://pokepricelab.com/es/catalog/ancient-origins-baltoy-31,,es
AOR,31,https://pokepricelab.com/fr/catalog/ancient-origins-baltoy-31,,fr
AOR,31,https://pokepricelab.com/it/catalog/ancient-origins-baltoy-31,,it
AOR,32,https://pokepricelab.com/catalog/ancient-origins-baltoy-32,,
AOR,32,https://pokepricelab.com/de/catalog/ancient-origins-baltoy-32,,de
AOR,32,https://pokepricelab.com/es/catalog/ancient-origins-baltoy-32,,es
