tournament_id;tournament_name;meta;tournament_date;archetype;card_name;card_identifier;total_count;max_count;deck_inclusion_count;average_count;total_decks_in_archetype;percentage_in_archetype;set_code;set_name;set_number;rarity;type;image_url;is_ace_spec,
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Air Balloon;ASC 181;2;1;2;1,"['0;3;66', '67;ASC;;181;Uncommon;Tool;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_181_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Postwick;JTG 154;12;4;3;4,"['0;3;100', '0;JTG;;154;Uncommon;Stadium;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_154_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Telepathic Psychic Energy;POR 88;12;4;3;4,"['0;3;100', '0;POR;;88;Rare;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_088_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Mist Energy;TEF 161;10;4;3;3,"['33;3;100', '0;TEF;;161;Uncommon;Special Energy;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_161_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Patrat;CRI 70;1;1;1;1,"['0;3;33', '33;CRI;;70;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_070_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Genesect;SFA 40;1;1;1;1,"['0;3;33', '33;SFA;;40;Uncommon;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SFA/SFA_040_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Psyduck;ASC 39;1;1;1;1,"['0;3;33', '33;ASC;;39;Common;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_039_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Latias ex;SSP 76;2;1;2;1,"['0;3;66', '67;SSP;;76;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/SSP/SSP_076_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hop's Zacian ex;JTG 111;2;1;2;1,"['0;3;66', '67;JTG;;111;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/JTG/JTG_111_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Special Red Card;CRI 82;2;1;2;1,"['0;3;66', '67;CRI;;82;Uncommon;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/CRI/CRI_082_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Fezandipiti ex;ASC 142;1;1;1;1,"['0;3;33', '33;ASC;;142;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/ASC/ASC_142_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Hilda;WHT 84;2;2;1;2,"['0;3;33', '33;WHT;;84;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/WHT/WHT_084_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Kieran;PRE 113;1;1;1;1,"['0;3;33', '33;PRE;;113;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/PRE/PRE_113_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Eri;TEF 146;1;1;1;1,"['0;3;33', '33;TEF;;146;Uncommon;Supporter;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TEF/TEF_146_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Hop's Trevenant;Unfair Stamp;TWM 165;1;1;1;1,"['0;3;33', '33;TWM;;165;Ultra Rare;Item;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_165_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Mega Kangaskhan ex;MEG 104;62;4;21;2,"['95;21;100', '0;MEG;;104;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/MEG/MEG_104_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Meowth ex;POR 62;58;3;20;2,"['9;21;95', '24;POR;;62;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/POR/POR_062_R_EN_LG.png;No']"
540;Special Event Turin – Limitless;Past Meta;6th June 2026;Raging Bolt Ogerpon;Teal Mask Ogerpon ex;TWM 25;63;3;21;3,"['0;21;100', '0;TWM;;25;Double Rare;Basic;https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/tpci/TWM/TWM_025_R_EN_LG.png;No']"
