deck_name;status;trend;old_rank;new_rank;rank_change;old_count;new_count;count_change;old_share;new_share;share_change;old_winrate;new_winrate;winrate_change
Raging Bolt Sandy Shocks;BESTEHEND;ABSTEIGEND;139;157;-18;2;2;0;0,01;0,0;-0,01;25,0;33,33;8,33
Dondozo;NEU;AUFSTEIGEND;-;158;0;0;2;2;0;0,0;0,0;0;16,67;16,67
Banette;NEU;AUFSTEIGEND;-;159;0;0;2;2;0;0,0;0,0;0;16,67;16,67
Arcanine;NEU;AUFSTEIGEND;-;160;0;0;2;2;0;0,0;0,0;0;0,0;0,0
Ursaluna Iron Valiant;BESTEHEND;ABSTEIGEND;142;161;-19;1;1;0;0,0;0,0;0,0;50,0;50,0;0,0
Dudunsparce Control;BESTEHEND;ABSTEIGEND;120;162;-42;6;1;-5;0,02;0,0;-0,02;35,0;22,22;-12,78
Lillie's Clefairy;BESTEHEND;ABSTEIGEND;128;163;-35;4;1;-3;0,01;0,0;-0,01;45,0;0,0;-45,0
Aegislash;BESTEHEND;ABSTEIGEND;101;164;-63;10;1;-9;0,03;0,0;-0,03;41,18;0,0;-41,18
Farigiraf Crustle;BESTEHEND;ABSTEIGEND;83;165;-82;16;1;-15;0,06;0,0;-0,06;57,75;0,0;-57,75
Gothitelle;NEU;AUFSTEIGEND;-;166;0;0;1;1;0;0,0;0,0;0;0,0;0,0
Future Thorns;NEU;AUFSTEIGEND;-;167;0;0;1;1;0;0,0;0,0;0;0,0;0,0
Farigiraf;VERSCHWUNDEN;ABSTEIGEND;140;-;0;1;0;-1;0,0;0;0,0;60,0;0;-60,0
Koraidon;VERSCHWUNDEN;ABSTEIGEND;141;-;0;1;0;-1;0,0;0;0,0;57,14;0;-57,14
Walking Wake;VERSCHWUNDEN;ABSTEIGEND;144;-;0;1;0;-1;0,0;0;0,0;42,86;0;-42,86
Cofagrigus;VERSCHWUNDEN;ABSTEIGEND;138;-;0;2;0;-2;0,01;0;-0,01;28,57;0;-28,57
Klawf;VERSCHWUNDEN;ABSTEIGEND;146;-;0;1;0;-1;0,0;0;0,0;25,0;0;-25,0
Glimmora;VERSCHWUNDEN;ABSTEIGEND;147;-;0;1;0;-1;0,0;0;0,0;0,0;0;0,0
