deck_name;matchup_type;opponent;win_rate;record;total_games
Kangaskhan Bouffalant;BEST;Grimmsnarl Froslass;59,5;144 - 98 - 3;245
Kangaskhan Bouffalant;BEST;Gardevoir Jellicent;57,03;215 - 162 - 18;395
Kangaskhan Bouffalant;BEST;Dragapult Dusknoir;55,45;422 - 339 - 23;784
Kangaskhan Bouffalant;BEST;Charizard Pidgeot;55,12;167 - 136 - 10;313
Kangaskhan Bouffalant;BEST;Charizard Noctowl;53,81;226 - 194 - 12;432
Kangaskhan Bouffalant;WORST;Alakazam Dudunsparce;29,31;102 - 246 - 5;353
Kangaskhan Bouffalant;WORST;Gholdengo Lunatone;46,77;348 - 396 - 18;762
N's Zoroark;BEST;Gardevoir Jellicent;63,03;208 - 122 - 11;341
N's Zoroark;BEST;Alakazam Dudunsparce;54,58;143 - 119 - 4;266
N's Zoroark;BEST;Mega Absol Box;50,42;121 - 119 - 11;251
N's Zoroark;WORST;Gholdengo Lunatone;40,25;262 - 389 - 19;670
N's Zoroark;WORST;Charizard Pidgeot;46,96;139 - 157 - 7;303
N's Zoroark;WORST;Kangaskhan Bouffalant;47,57;127 - 140 - 5;272
N's Zoroark;WORST;Grimmsnarl Froslass;48,1;114 - 123 - 6;243
N's Zoroark;WORST;Dragapult Dusknoir;49,79;355 - 358 - 18;731
