rank;deck_name;count;share;share_numeric;wins;losses;ties;win_rate;win_rate_numeric
95;Lopunny Dudunsparce;21;0.05%;0,05;38;53;1;41.30%;41,3
96;Future Box;20;0.04%;0,04;51;51;0;50.00%;50,0
97;Charizard Dragapult;20;0.04%;0,04;35;36;1;48.61%;48,61
98;Flygon;20;0.04%;0,04;45;53;0;45.92%;45,92
99;Okidogi;20;0.04%;0,04;37;49;0;43.02%;43,02
100;Mega Sharpedo;20;0.04%;0,04;26;55;1;31.71%;31,71
101;Rocket's Nidoking;20;0.04%;0,04;23;54;0;29.87%;29,87
102;Gholdengo Dudunsparce;18;0.04%;0,04;24;35;0;40.68%;40,68
103;Blaziken Zoroark;18;0.04%;0,04;22;34;2;37.93%;37,93
104;Scovillain;18;0.04%;0,04;18;40;1;30.51%;30,51
105;Miraidon Eelektrik;17;0.04%;0,04;35;38;0;47.95%;47,95
106;Gouging Fire;16;0.04%;0,04;40;37;4;49.38%;49,38
107;Espathra Xatu;15;0.03%;0,03;29;30;1;48.33%;48,33
108;Future Hands;15;0.03%;0,03;23;26;0;46.94%;46,94
109;Charizard Greninja;15;0.03%;0,03;35;38;3;46.05%;46,05
110;Azumarill;14;0.03%;0,03;32;37;2;45.07%;45,07
111;Forretress;13;0.03%;0,03;25;25;0;50.00%;50,0
112;Charizard Dusknoir;13;0.03%;0,03;18;33;0;35.29%;35,29
113;Bloodmoon Ursaluna;12;0.03%;0,03;29;27;0;51.79%;51,79
114;Dragapult Froslass;12;0.03%;0,03;22;24;0;47.83%;47,83
115;Miraidon;12;0.03%;0,03;18;36;0;33.33%;33,33
116;Zoroark Lucario;12;0.03%;0,03;16;33;0;32.65%;32,65
117;Poison Terapagos;12;0.03%;0,03;7;23;0;23.33%;23,33
118;Copperajah;11;0.02%;0,02;22;19;0;53.66%;53,66
119;Cinderace;11;0.02%;0,02;11;23;0;32.35%;32,35
120;Archaludon Dudunsparce;10;0.02%;0,02;27;22;0;55.10%;55,1
121;Roaring Moon Dudunsparce;10;0.02%;0,02;25;20;2;53.19%;53,19
122;Spidops;10;0.02%;0,02;23;28;1;44.23%;44,23
123;Meowscarada;10;0.02%;0,02;18;21;2;43.90%;43,9
