deck_name;rank;count;share;winrate
Dragapult;1;1293;9,1;53,08
Mega Greninja;2;899;6,33;44,32
Dragapult Dusknoir;3;830;5,84;51,38
Slowking;4;817;5,75;51,89
Beedrill;5;620;4,36;49,2
Alakazam Dudunsparce;6;579;4,07;50,73
N's Zoroark;7;572;4,03;50,0
Ogerpon Meganium Hydrapple;8;533;3,75;53,26
Lucario Hariyama;9;449;3,16;46,73
Raging Bolt Ogerpon;10;426;3,0;51,09
Dragapult Blaziken;11;389;2,74;55,23
Rocket's Honchkrow;12;381;2,68;51,35
Lopunny Dudunsparce;13;356;2,51;47,69
Rocket's Mewtwo;14;313;2,2;47,05
Festival Lead;15;307;2,16;50,7
Starmie Dusknoir;16;266;1,87;43,83
Crustle;17;244;1,72;54,61
Cynthia's Garchomp;18;230;1,62;50,15
Dragapult Dudunsparce;19;223;1,57;50,67
Mega Lucario;20;218;1,53;49,32
Starmie Froslass;21;215;1,51;45,03
Basic Box;22;203;1,43;51,44
Hop's Trevenant;23;200;1,41;48,4
Greninja;24;198;1,39;48,37
Ceruledge;25;157;1,1;48,71
Grimmsnarl Froslass;26;154;1,08;50,54
Diancie Dusknoir;27;137;0,96;51,52
Metagross;28;131;0,92;53,32
Archaludon Dudunsparce;29;118;0,83;53,46
Ethan's Typhlosion;30;115;0,81;50,98
Mega Starmie;31;112;0,79;47,83
Okidogi Barbaracle;32;112;0,79;54,04
Mega Venusaur;33;102;0,72;42,93
Ogerpon Meganium Arboliva;34;76;0,53;46,93
Steven's Metagross;35;73;0,51;42,31
Hydreigon;36;66;0,46;37,24
Ursaluna Lunatone;37;60;0,42;40,34
Kangaskhan Bouffalant;38;57;0,4;50,0
Mega Charizard X;39;57;0,4;40,43
Manectric Eelektrik;40;57;0,4;40,0
Hop's Zacian;41;54;0,38;45,3
Mega Abomasnow;42;50;0,35;39,74
Doublade;43;50;0,35;45,83
Mega Froslass;44;48;0,34;47,91
Flareon Noctowl;45;49;0,34;42,25
Toxtricity Box;46;47;0,33;55,8
Joltik Box;47;44;0,31;50,75
Mega Absol Box;48;44;0,31;45,35
Yanmega;49;43;0,3;45,36
Lillie's Clefairy;50;43;0,3;44,81
Clefairy Ogerpon;51;39;0,27;50,0
Froslass Dudunsparce;52;34;0,24;35,71
Ogerpon Meganium;53;33;0,23;39,72
Archaludon;54;31;0,22;49,67
Mega Dragonite;55;31;0,22;50,88
Palafin;56;30;0,21;41,84
Tera Box;57;30;0,21;45,69
Decidueye;58;27;0,19;44,09
Mega Diancie;59;26;0,18;42,96
Froslass Munkidori;60;26;0,18;43,9
Sharpedo Toxtricity;61;24;0,17;38,24
Mega Zygarde;62;20;0,14;40,26
Blaziken;63;20;0,14;45,33
Bronzong;64;19;0,13;45,24
Mega Lopunny;65;16;0,11;58,7
Dudunsparce Control;66;16;0,11;34,48
Mega Feraligatr;67;14;0,1;36,54
Raging Bolt Bellibolt;68;14;0,1;36,59
Dragapult Froslass;69;11;0,08;51,72
Azumarill;70;12;0,08;39,13
Misty's Gyarados;71;11;0,08;42,22
Rocket's Spidops;72;12;0,08;29,55
Lopunny Dusknoir;73;11;0,08;48,84
Sinistcha Ogerpon;74;10;0,07;64,58
Okidogi;75;10;0,07;39,53
Ethan's Magcargo;76;10;0,07;37,14
Alakazam;77;9;0,06;42,0
Iono's Bellibolt;78;9;0,06;43,59
Jellicent Dusknoir;79;8;0,06;47,22
Marnie's Grimmsnarl;80;9;0,06;30,0
Eelektrik;81;8;0,06;37,04
Heatran Metang;82;7;0,05;62,5
Mega Gengar;83;7;0,05;31,03
Paldean Tauros;84;7;0,05;21,43
Toxtricity;85;7;0,05;44,0
Seaking Festival Lead;86;7;0,05;43,48
Archaludon Zoroark;87;5;0,04;37,5
Dragapult Iron Thorns;88;5;0,04;68,18
Terapagos Noctowl;89;5;0,04;55,56
Tyranitar;90;5;0,04;20,0
Milotic;91;4;0,03;43,48
Mamoswine;92;4;0,03;57,14
Slaking;93;4;0,03;42,86
Blissey;94;4;0,03;50,0
Rocket's Nidoking;95;4;0,03;23,53
Zygarde Barbaracle;96;4;0,03;56,25
Cinderace;97;4;0,03;38,46
Luxray;98;4;0,03;41,67
Mega Camerupt;99;4;0,03;10,0
Hydrapple;100;3;0,02;35,71
Bloodmoon Ursaluna;101;3;0,02;30,0
Feraligatr;102;3;0,02;25,0
Iron Thorns Crustle;103;3;0,02;57,14
Alolan Exeggutor ex;104;2;0,01;54,55
Mega Manectric;105;2;0,01;45,45
Flygon;106;2;0,01;37,5
Toxtricity Brute Bonnet;107;2;0,01;28,57
Hydrapple Ogerpon;108;2;0,01;28,57
Erika's Victreebel;109;1;0,01;57,14
Blaziken Zoroark;110;2;0,01;66,67
Scizor;111;1;0,01;66,67
Flareon;112;1;0,01;60,0
Dragonite Eelektrik;113;1;0,01;40,0
Cornerstone Mask Ogerpon;114;1;0,01;40,0
Mega Sharpedo;115;2;0,01;25,0
Iron Thorns;116;1;0,01;25,0
Incineroar;117;1;0,01;25,0
Galvantula;118;1;0,01;25,0
Ogerpon;119;1;0,01;0,0
Great Tusk Mill;120;1;0,01;50,0
Mega Latias;121;1;0,01;0,0
