deck_name;rank;count;share;winrate
Dragapult;1;1947;6,87;52,28
Lucario Hariyama;2;1598;5,64;46,93
Dragapult Blaziken;3;1574;5,55;52,28
Dragapult Dusknoir;4;1528;5,39;45,48
Alakazam Dudunsparce;5;1498;5,28;51,2
N's Zoroark;6;1475;5,2;46,3
Rocket's Mewtwo;7;1360;4,8;50,25
Starmie Froslass;8;1132;3,99;52,14
Ogerpon Meganium;9;1074;3,79;54,6
Festival Lead;10;1029;3,63;52,46
Cynthia's Garchomp;11;986;3,48;51,33
Grimmsnarl Froslass;12;893;3,15;51,62
Raging Bolt Ogerpon;13;829;2,92;50,49
Okidogi Barbaracle;14;684;2,41;54,34
Rocket's Honchkrow;15;632;2,23;51,65
Crustle;16;597;2,11;51,37
Dragapult Dudunsparce;17;481;1,7;50,86
Slowking;18;461;1,63;48,52
Greninja;19;404;1,42;49,21
Steven's Metagross;20;365;1,29;46,98
Mega Absol Box;21;366;1,29;46,84
Mega Venusaur;22;357;1,26;43,41
Lopunny Dudunsparce;23;355;1,25;52,32
Clefairy Ogerpon;24;338;1,19;50,38
Ogerpon Box;25;314;1,11;54,74
Mega Lucario;26;302;1,06;47,03
Starmie Dusknoir;27;292;1,03;50,83
Flareon Noctowl;28;293;1,03;46,94
Ceruledge;29;238;0,84;43,26
Hop's Trevenant;30;236;0,83;48,71
Hydrapple Ogerpon;31;227;0,8;53,18
Diancie Dusknoir;32;220;0,78;45,83
Froslass Munkidori;33;201;0,71;47,03
Ursaluna Lunatone;34;197;0,69;44,96
Rocket's Spidops;35;167;0,59;54,79
Ethan's Typhlosion;36;158;0,56;38,63
Tera Box;37;150;0,53;46,52
Mega Froslass;38;129;0,45;49,16
Decidueye;39;127;0,45;42,3
Jellicent Dusknoir;40;124;0,44;45,73
Mega Starmie;41;110;0,39;45,7
Yanmega;42;101;0,36;55,22
Archaludon;43;93;0,33;53,14
Mega Charizard X;44;91;0,32;28,66
Toxtricity Box;45;88;0,31;43,73
Kangaskhan Bouffalant;46;70;0,25;50,63
Marnie's Grimmsnarl;47;68;0,24;45,14
Hydreigon;48;66;0,23;41,2
Hop's Zacian;49;63;0,22;49,34
Sharpedo Toxtricity;50;58;0,2;37,55
Mega Abomasnow;51;51;0,18;37,67
Zygarde Barbaracle;52;52;0,18;40,0
Mega Dragonite;53;48;0,17;36,56
Archaludon Zoroark;54;46;0,16;53,95
Archaludon Dudunsparce;55;45;0,16;59,55
Joltik Box;56;46;0,16;46,88
Eelektrik;57;46;0,16;35,53
Dudunsparce Control;58;43;0,15;35,06
Mega Zygarde ex;59;37;0,13;42,68
Dragapult Froslass;60;37;0,13;48,34
Okidogi;61;35;0,12;45,64
Palafin;62;30;0,11;37,3
Iron Thorns Crustle;63;30;0,11;36,45
Iono's Bellibolt;64;28;0,1;50,0
Terapagos Noctowl;65;26;0,09;45,13
Manectric Eelektrik;66;25;0,09;29,9
Mega Diancie;67;26;0,09;41,05
Blaziken;68;25;0,09;32,56
Paldean Tauros;69;22;0,08;36,08
Toxtricity;70;23;0,08;37,93
Azumarill;71;20;0,07;41,86
Mega Feraligatr;72;19;0,07;37,66
Lillie's Clefairy;73;18;0,06;52,75
Alolan Exeggutor ex;74;17;0,06;44,16
Mamoswine;75;17;0,06;13,95
Heatran Metang;76;15;0,05;40,98
Dragonite Eelektrik;77;13;0,05;37,7
Raging Bolt Bellibolt;78;15;0,05;50,0
Mega Camerupt;79;15;0,05;29,63
Lopunny Dusknoir;80;13;0,05;44,0
Bloodmoon Ursaluna;81;13;0,05;43,48
Erika's Victreebel;82;14;0,05;31,82
Blissey;83;13;0,05;40,91
Farigiraf;84;13;0,05;44,19
Feraligatr;85;13;0,05;30,23
Mega Lopunny;86;10;0,04;43,48
Slaking;87;12;0,04;48,84
Misty's Gyarados;88;12;0,04;42,86
Alakazam;89;8;0,03;37,84
Tyranitar;90;9;0,03;26,47
Mega Gengar;91;8;0,03;38,24
Ethan's Magcargo;92;8;0,03;39,39
Mega Latias;93;8;0,03;35,48
Flareon;94;8;0,03;40,74
Mega Kangaskhan;95;7;0,02;57,14
Mega Sharpedo;96;6;0,02;35,9
Mega Manectric;97;7;0,02;37,84
Hydrapple;98;7;0,02;23,33
Zoroark Crustle;99;5;0,02;40,0
Dragapult Iron Thorns;100;5;0,02;36,36
Miraidon;101;6;0,02;10,53
Greninja Blaziken;102;5;0,02;38,89
Rocket's Nidoking;103;5;0,02;50,0
Toxtricity Brute Bonnet;104;4;0,01;47,83
Rocket's Porygon-Z;105;3;0,01;50,0
Zoroark Lucario;106;3;0,01;40,0
Greninja Froslass;107;4;0,01;42,86
Iron Thorns;108;3;0,01;50,0
Scovillain;109;4;0,01;23,08
Farigiraf Milotic;110;4;0,01;66,67
Scizor;111;4;0,01;16,67
Sinistcha Ogerpon;112;3;0,01;33,33
Future Box;113;2;0,01;54,55
Cinderace;114;3;0,01;50,0
Flygon;115;3;0,01;40,0
Milotic;116;2;0,01;33,33
Luxray;117;2;0,01;37,5
Cornerstone Mask Ogerpon;118;2;0,01;0,0
Incineroar;119;1;0,0;50,0
Blaziken Zoroark;120;1;0,0;66,67
Raging Bolt;121;1;0,0;25,0
Torterra;122;1;0,0;50,0
Gholdengo Lunatone;123;1;0,0;0,0
Seaking Festival Lead;124;1;0,0;0,0
Dragapult Zoroark;125;1;0,0;0,0
Gengar;126;1;0,0;0,0
