deck_name;rank;count;share;winrate
Mega Excadrill;1;851;8,07;49,66
Festival Lead;2;685;6,49;52,98
Dragapult Blaziken;3;644;6,11;54,16
Dragapult Dusknoir;4;611;5,79;49,89
Dragapult;5;578;5,48;54,48
Dhelmise;6;562;5,33;47,51
N's Zoroark;7;546;5,18;49,09
Alakazam Dudunsparce;8;528;5,01;54,54
Slowking;9;439;4,16;51,31
Grimmsnarl Froslass;10;405;3,84;54,51
Mega Absol Box;11;224;2,12;48,3
Mega Greninja;12;199;1,89;43,23
Ogerpon Meganium Hydrapple;13;174;1,65;51,98
Lucario Hariyama;14;174;1,65;48,4
Rocket's Honchkrow;15;164;1,55;49,43
Beedrill;16;152;1,44;52,11
Basic Box;17;141;1,34;54,3
Cynthia's Garchomp;18;129;1,22;52,95
Raging Bolt Ogerpon;19;119;1,13;52,83
Tera Box;20;116;1,1;52,25
Manectric Eelektrik;21;104;0,99;42,09
Mega Lucario;22;102;0,97;52,76
Ceruledge;23;88;0,83;49,31
Rocket's Mewtwo;24;84;0,8;45,23
Kangaskhan Bouffalant;25;84;0,8;53,05
Ethan's Typhlosion;26;82;0,78;46,87
Crustle;27;81;0,77;45,81
Toxtricity Box;28;72;0,68;47,39
Mega Venusaur;29;70;0,66;41,05
Wailord;30;67;0,64;42,42
Lopunny Dudunsparce;31;63;0,6;54,83
Starmie Froslass;32;61;0,58;45,62
Terapagos Noctowl;33;60;0,57;50,52
Hop's Trevenant;34;60;0,57;45,26
Toxtricity;35;54;0,51;30,54
Blaziken Zoroark;36;43;0,41;56,74
Steven's Metagross;37;42;0,4;51,04
Greninja;38;40;0,38;54,11
Iron Thorns;39;38;0,36;32,8
Mega Charizard X;40;37;0,35;34,01
Starmie Dusknoir;41;37;0,35;44,52
Metagross;42;35;0,33;48,89
Lillie's Clefairy;43;35;0,33;50,88
Froslass Munkidori;44;32;0,3;41,03
Mega Dragonite;45;30;0,28;43,08
Marnie's Grimmsnarl;46;30;0,28;45,45
Zygarde Barbaracle;47;29;0,27;51,88
Erika's Victreebel;48;28;0,27;49,62
Mega Abomasnow;49;29;0,27;34,96
Doublade;50;29;0,27;41,59
Dragapult Dudunsparce;51;27;0,26;53,78
Flareon Noctowl;52;25;0,24;48,48
Okidogi Barbaracle;53;24;0,23;40,23
Archaludon;54;22;0,21;35,63
Mega Starmie;55;21;0,2;50,0
Mega Feraligatr;56;20;0,19;25,0
Hydreigon;57;18;0,17;32,43
Froslass Dudunsparce;58;16;0,15;38,81
Ogerpon Meganium Arboliva;59;15;0,14;55,7
Archaludon Zoroark;60;15;0,14;41,3
Diancie Dusknoir;61;14;0,13;35,56
Palafin;62;13;0,12;50,88
Rocket's Nidoking;63;11;0,1;43,48
Hop's Zacian;64;10;0,09;45,83
Sharpedo Toxtricity;65;10;0,09;43,75
Dudunsparce Control;66;9;0,09;45,83
Ursaluna Lunatone;67;10;0,09;46,34
Decidueye;68;10;0,09;33,33
Iono's Bellibolt;69;10;0,09;39,47
Ogerpon Meganium;70;9;0,09;37,84
Dragapult Froslass;71;10;0,09;39,39
Eelektrik;72;8;0,08;44,19
Blissey;73;8;0,08;53,85
Joltik Box;74;8;0,08;42,42
Gengar;75;8;0,08;30,3
Flygon;76;8;0,08;37,93
Mega Camerupt;77;7;0,07;34,78
Bronzong;78;6;0,06;50,0
Blaziken;79;6;0,06;50,0
Mega Lopunny;80;6;0,06;37,04
Mega Froslass;81;6;0,06;29,17
Misty's Gyarados;82;6;0,06;30,43
Mega Gengar;83;6;0,06;35,0
Yanmega;84;6;0,06;25,0
Mega Sharpedo;85;5;0,05;27,78
Archaludon Dudunsparce;86;5;0,05;25,0
Paldean Tauros;87;5;0,05;46,15
Sinistcha Ogerpon;88;4;0,04;56,0
Mega Manectric;89;4;0,04;52,38
Dragonite Eelektrik;90;4;0,04;29,41
Azumarill;91;4;0,04;37,5
Lopunny Dusknoir;92;4;0,04;33,33
Rocket's Spidops;93;4;0,04;26,67
Clefairy Ogerpon;94;4;0,04;41,67
Sylveon;95;3;0,03;18,18
Jellicent Dusknoir;96;3;0,03;44,44
Mega Zygarde;97;2;0,02;30,77
Farigiraf;98;2;0,02;50,0
Seaking Festival Lead;99;2;0,02;45,45
Cornerstone Mask Ogerpon;100;2;0,02;20,0
Mamoswine;101;2;0,02;44,44
Flareon;102;2;0,02;37,5
Zoroark Crustle;103;2;0,02;50,0
Scizor;104;2;0,02;33,33
Mega Latias;105;2;0,02;33,33
Okidogi;106;2;0,02;25,0
Scovillain;107;1;0,01;62,5
Toxtricity Brute Bonnet;108;1;0,01;42,86
Mega Diancie;109;1;0,01;50,0
Tyranitar;110;1;0,01;33,33
Alakazam;111;1;0,01;60,0
Luxray;112;1;0,01;60,0
Raging Bolt;113;1;0,01;0,0
Raging Bolt Bellibolt;114;1;0,01;25,0
Hydrapple Ogerpon;115;1;0,01;100,0
Milotic;116;1;0,01;33,33
Ethan's Magcargo;117;1;0,01;33,33
Hydrapple;118;1;0,01;50,0
