deck_name;rank;count;share;winrate
Mega Greninja;1;153;7,92;40,88
Dragapult;2;152;7,87;53,85
Dragapult Dusknoir;3;122;6,32;50,82
Lopunny Dudunsparce;4;94;4,87;46,56
N's Zoroark;5;84;4,35;52,79
Hydrapple Ogerpon;6;82;4,25;54,4
Beedrill;7;76;3,94;55,36
Raging Bolt Ogerpon;8;76;3,94;49,4
Slowking;9;70;3,63;52,27
Lucario Hariyama;10;64;3,31;50,85
Rocket's Mewtwo;11;63;3,26;43,15
Dragapult Blaziken;12;56;2,9;48,35
Alakazam Dudunsparce;13;52;2,69;49,27
Rocket's Honchkrow;14;48;2,49;53,13
Cynthia's Garchomp;15;47;2,43;50,26
Starmie Dusknoir;16;46;2,38;46,19
Starmie Froslass;17;44;2,28;50,93
Grimmsnarl Froslass;18;35;1,81;51,95
Dragapult Dudunsparce;19;32;1,66;52,9
Festival Lead;20;30;1,55;49,62
Greninja;21;27;1,4;44,07
Ogerpon Meganium;22;25;1,29;46,39
Mega Lucario;23;25;1,29;48,42
Crustle;24;21;1,09;58,1
Ceruledge;25;21;1,09;51,09
Okidogi Barbaracle;26;16;0,83;59,21
Ethan's Typhlosion;27;16;0,83;53,73
Mega Starmie;28;15;0,78;47,76
Hop's Trevenant;29;15;0,78;47,54
Ursaluna Lunatone;30;13;0,67;42,0
Archaludon Dudunsparce;31;12;0,62;58,62
Mega Venusaur;32;10;0,52;50,0
Steven's Metagross;33;10;0,52;48,72
Ogerpon Box;34;9;0,47;47,06
Hop's Zacian;35;9;0,47;56,41
Clefairy Ogerpon;36;8;0,41;54,0
Mega Froslass;37;8;0,41;57,45
Mega Abomasnow;38;8;0,41;43,48
Archaludon;39;8;0,41;55,81
Hydreigon;40;8;0,41;43,59
Diancie Dusknoir;41;8;0,41;50,0
Froslass Munkidori;42;7;0,36;47,22
Kangaskhan Bouffalant;43;6;0,31;61,54
Yanmega;44;6;0,31;45,45
Decidueye;45;6;0,31;21,05
Mega Zygarde;46;6;0,31;25,0
Flareon Noctowl;47;5;0,26;40,0
Sharpedo Toxtricity;48;5;0,26;50,0
Dragapult Froslass;49;4;0,21;44,44
Tera Box;50;4;0,21;50,0
Mega Dragonite;51;4;0,21;66,67
Froslass Dudunsparce;52;4;0,21;46,67
Rocket's Spidops;53;4;0,21;40,0
Manectric Eelektrik;54;3;0,16;54,55
Mega Charizard X;55;3;0,16;46,15
Paldean Tauros;56;3;0,16;30,77
Mega Kangaskhan;57;3;0,16;50,0
Mega Absol Box;58;3;0,16;44,44
Okidogi;59;3;0,15;33,33
Mega Lopunny;60;2;0,1;56,25
Toxtricity Box;61;2;0,1;72,73
Mega Gengar;62;2;0,1;36,36
Blaziken;63;2;0,1;14,29
Joltik Box;64;2;0,1;16,67
Mega Feraligatr;65;2;0,1;20,0
Dudunsparce Control;66;2;0,1;0,0
Toxtricity;67;2;0,1;0,0
Raging Bolt Bellibolt;68;2;0,1;0,0
Heatran Metang;69;1;0,05;62,5
Iono's Bellibolt;70;1;0,05;37,5
Mega Diancie;71;1;0,05;50,0
Marnie's Grimmsnarl;72;1;0,05;33,33
Slaking;73;1;0,05;33,33
Blaziken Zoroark;74;1;0,05;80,0
Hydrapple;75;1;0,05;0,0
Azumarill;76;1;0,05;66,67
Ethan's Magcargo;77;1;0,05;33,33
Mega Sharpedo;78;1;0,05;50,0
Jellicent Dusknoir;79;1;0,05;50,0
Cinderace;80;1;0,05;0,0
Archaludon Zoroark;81;1;0,05;0,0
