deck_name;rank;count;share;winrate
Dragapult;1;524;9,54;51,69
Mega Greninja;2;389;7,09;43,02
Dragapult Dusknoir;3;315;5,74;51,34
Beedrill;4;260;4,74;52,67
Slowking;5;255;4,64;54,19
N's Zoroark;6;221;4,03;51,46
Ogerpon Meganium Hydrapple;7;211;3,84;54,35
Lopunny Dudunsparce;8;209;3,81;48,45
Raging Bolt Ogerpon;9;204;3,72;50,12
Lucario Hariyama;10;198;3,61;48,68
Rocket's Honchkrow;11;171;3,11;50,86
Starmie Dusknoir;12;145;2,64;47,56
Rocket's Mewtwo;13;143;2,6;46,19
Alakazam Dudunsparce;14;140;2,55;48,22
Dragapult Blaziken;15;135;2,46;54,08
Cynthia's Garchomp;16;125;2,28;49,91
Dragapult Dudunsparce;17;116;2,11;50,91
Festival Lead;18;95;1,73;47,07
Greninja;19;92;1,68;49,64
Starmie Froslass;20;87;1,58;45,64
Mega Lucario;21;78;1,42;51,74
Grimmsnarl Froslass;22;77;1,4;51,04
Basic Box;23;68;1,24;47,84
Ceruledge;24;67;1,22;50,5
Crustle;25;66;1,2;56,85
Ogerpon Meganium Arboliva;26;46;0,84;45,7
Archaludon Dudunsparce;27;45;0,82;55,76
Okidogi Barbaracle;28;44;0,8;55,91
Mega Starmie;29;41;0,75;46,02
Hop's Trevenant;30;38;0,69;46,71
Metagross;31;37;0,67;53,45
Mega Venusaur;32;33;0,6;44,44
Ethan's Typhlosion;33;32;0,58;55,7
Steven's Metagross;34;27;0,49;37,27
Hydreigon;35;25;0,46;39,67
Hop's Zacian;36;25;0,46;50,0
Diancie Dusknoir;37;24;0,44;57,69
Ursaluna Lunatone;38;24;0,44;36,0
Clefairy Ogerpon;39;22;0,4;53,85
Mega Charizard X;40;22;0,4;44,09
Mega Abomasnow;41;21;0,38;40,37
Yanmega;42;19;0,35;52,0
Doublade;43;19;0,35;52,11
Mega Froslass;44;18;0,33;53,27
Archaludon;45;18;0,33;50,53
Froslass Dudunsparce;46;17;0,31;33,33
Tera Box;47;15;0,27;51,85
Kangaskhan Bouffalant;48;15;0,27;54,9
Mega Zygarde;49;13;0,24;36,73
Flareon Noctowl;50;12;0,22;42,86
Mega Absol Box;51;12;0,22;44,19
Joltik Box;52;11;0,2;47,83
Mega Dragonite;53;11;0,2;61,36
Sharpedo Toxtricity;54;11;0,2;42,5
Mega Diancie;55;10;0,18;46,3
Manectric Eelektrik;56;10;0,18;41,3
Toxtricity Box;57;10;0,18;47,5
Decidueye;58;10;0,18;35,0
Froslass Munkidori;59;9;0,16;45,45
Ogerpon Meganium;60;8;0,15;44,74
Bronzong;61;7;0,13;48,48
Rocket's Spidops;62;7;0,13;36,0
Okidogi;63;5;0,09;33,33
Mega Lopunny;64;5;0,09;61,11
Paldean Tauros;65;5;0,09;26,09
Palafin;66;5;0,09;40,91
Iono's Bellibolt;67;5;0,09;36,84
Mega Feraligatr;68;4;0,07;50,0
Dragapult Froslass;69;4;0,07;44,44
Misty's Gyarados;70;4;0,07;35,71
Azumarill;71;4;0,07;25,0
Milotic;72;3;0,05;44,44
Archaludon Zoroark;73;3;0,05;43,75
Mega Gengar;74;3;0,05;35,71
Jellicent Dusknoir;75;3;0,05;53,85
Blaziken;76;3;0,05;25,0
Ethan's Magcargo;77;3;0,05;27,27
Eelektrik;78;3;0,05;27,27
Dudunsparce Control;79;3;0,05;12,5
Raging Bolt Bellibolt;80;3;0,05;0,0
Heatran Metang;81;2;0,04;61,54
Alolan Exeggutor ex;82;2;0,04;54,55
Marnie's Grimmsnarl;83;2;0,04;30,0
Mamoswine;84;2;0,04;57,14
Hydrapple Ogerpon;85;2;0,04;28,57
Lopunny Dusknoir;86;2;0,04;66,67
Dragapult Iron Thorns;87;2;0,04;66,67
Seaking Festival Lead;88;2;0,04;16,67
Toxtricity;89;2;0,04;0,0
Slaking;90;1;0,02;33,33
Blaziken Zoroark;91;1;0,02;80,0
Flygon;92;1;0,02;40,0
Cornerstone Mask Ogerpon;93;1;0,02;40,0
Alakazam;94;1;0,02;20,0
Incineroar;95;1;0,02;25,0
Galvantula;96;1;0,02;25,0
Hydrapple;97;1;0,02;0,0
Rocket's Nidoking;98;1;0,02;0,0
Ogerpon;99;1;0,02;0,0
Mega Sharpedo;100;1;0,02;50,0
Cinderace;101;1;0,02;0,0
