deck_name;rank;count;share;winrate
Mega Excadrill;1;2849;7,55;48,71
Dragapult;2;2754;7,3;54,14
Festival Lead;3;2277;6,03;50,88
Dragapult Blaziken;4;2202;5,83;52,8
Alakazam Dudunsparce;5;2153;5,7;53,02
Slowking;6;2112;5,59;52,4
Dragapult Dusknoir;7;2079;5,51;50,09
N's Zoroark;8;1951;5,17;47,95
Grimmsnarl Froslass;9;1603;4,25;51,19
Dhelmise;10;1502;3,98;48,13
Toucannon;11;1002;2,65;47,33
Raging Bolt Ogerpon;12;829;2,2;53,07
Mega Lucario;13;760;2,01;50,39
Lucario Hariyama;14;678;1,8;48,64
Basic Box;15;587;1,56;52,65
Mega Greninja;16;589;1,56;41,76
Ogerpon Meganium Hydrapple;17;523;1,39;51,51
Rocket's Honchkrow;18;484;1,28;50,52
Cynthia's Garchomp;19;462;1,22;51,67
Mega Chandelure;20;439;1,16;42,94
Beedrill;21;416;1,1;49,73
Mega Absol Box;22;375;0,99;46,89
Crustle;23;315;0,83;48,88
Kangaskhan Bouffalant;24;296;0,78;50,85
Rocket's Mewtwo;25;291;0,77;44,39
Manectric Eelektrik;26;289;0,77;42,98
Greninja;27;279;0,74;51,0
Hop's Trevenant;28;276;0,73;47,27
Ethan's Typhlosion;29;274;0,73;46,03
Starmie Froslass;30;262;0,69;48,4
Lopunny Dusknoir;31;256;0,68;49,53
Toxtricity Box;32;245;0,65;50,62
Ceruledge;33;239;0,63;48,63
Lopunny Dudunsparce;34;231;0,61;52,29
Dragapult Dudunsparce;35;217;0,57;54,05
Mega Venusaur;36;215;0,57;43,56
Ogerpon Meganium Arboliva;37;212;0,56;55,87
Mega Starmie;38;172;0,46;50,68
Starmie Dusknoir;39;174;0,46;46,94
Mega Darkrai;40;162;0,43;38,13
Cinccino;41;157;0,42;50,0
Blaziken Zoroark;42;131;0,35;47,94
Toxtricity;43;129;0,34;36,61
Steven's Metagross;44;125;0,33;48,88
Wailord;45;112;0,3;38,65
Clefairy Ogerpon;46;109;0,29;48,8
Lillie's Clefairy;47;102;0,27;48,64
Froslass Munkidori;48;101;0,27;40,78
Okidogi Barbaracle;49;99;0,26;48,84
Mega Froslass;50;93;0,25;38,07
Mega Abomasnow;51;89;0,24;37,78
Sharpedo Toxtricity;52;84;0,22;43,02
Metagross;53;81;0,21;48,88
Mega Charizard X;54;79;0,21;31,39
Mega Dragonite;55;77;0,2;48,7
Flareon Noctowl;56;75;0,2;46,5
Doublade;57;73;0,19;43,96
Tera Box;58;71;0,19;50,35
Hydreigon;59;67;0,18;33,98
Marnie's Grimmsnarl;60;63;0,17;46,54
Diancie Dusknoir;61;63;0,17;47,5
Hop's Zacian;62;59;0,16;45,38
Zygarde Barbaracle;63;56;0,15;47,92
Erika's Victreebel;64;58;0,15;39,82
Froslass Dudunsparce;65;55;0,15;40,0
Iron Thorns;66;56;0,15;31,98
Palafin;67;52;0,14;48,39
Ogerpon Meganium;68;48;0,13;40,98
Iono's Bellibolt;69;44;0,12;39,18
Bronzong;70;40;0,11;46,99
Azumarill;71;41;0,11;45,16
Ursaluna Lunatone;72;40;0,11;38,93
Archaludon;73;40;0,11;35,42
Decidueye;74;37;0,1;35,16
Mega Feraligatr;75;38;0,1;30,58
Yanmega;76;33;0,09;45,14
Mega Camerupt;77;30;0,08;34,01
Alakazam Dusknoir;78;30;0,08;43,75
Rocket's Nidoking;79;24;0,06;38,14
Joltik Box;80;24;0,06;43,88
Alakazam;81;24;0,06;44,21
Jellicent Dusknoir;82;24;0,06;42,7
Archaludon Dudunsparce;83;21;0,06;34,48
Dragapult Froslass;84;21;0,06;43,9
Archaludon Zoroark;85;22;0,06;43,04
Blaziken;86;21;0,06;34,78
Sinistcha Ogerpon;87;20;0,05;56,64
Eelektrik;88;18;0,05;38,2
Seaking Festival Lead;89;19;0,05;53,66
Blissey;90;18;0,05;48,65
Mega Zygarde;91;17;0,05;34,25
Greninja Blaziken;92;17;0,05;56,94
Ethan's Magcargo;93;20;0,05;38,03
Terapagos Noctowl;94;17;0,05;40,85
Gengar;95;17;0,05;30,3
Mamoswine;96;18;0,05;36,07
Dudunsparce Control;97;16;0,04;44,44
Misty's Gyarados;98;16;0,04;31,67
Paldean Tauros;99;16;0,04;51,72
Sylveon;100;15;0,04;32,14
Rocket's Spidops;101;13;0,03;32,0
Mega Lopunny;102;11;0,03;35,9
Scizor;103;12;0,03;44,74
Feraligatr;104;11;0,03;36,11
Mega Gengar;105;11;0,03;16,13
Flygon;106;10;0,03;35,48
Dragapult Zoroark;107;8;0,02;48,72
Raging Bolt Bellibolt;108;8;0,02;37,84
Scovillain;109;6;0,02;46,88
Mega Sharpedo;110;8;0,02;28,0
Mega Latias;111;7;0,02;36,0
Luxray;112;6;0,02;41,67
Zoroark Crustle;113;6;0,02;45,0
Mega Diancie;114;5;0,01;45,83
Dragonite Eelektrik;115;5;0,01;31,82
Cinderace;116;5;0,01;47,62
Mega Manectric;117;4;0,01;52,38
Flareon;118;5;0,01;35,29
Toxtricity Brute Bonnet;119;3;0,01;50,0
Tyranitar;120;3;0,01;30,77
Cornerstone Mask Ogerpon;121;3;0,01;16,67
Alolan Exeggutor ex;122;2;0,01;27,27
Okidogi;123;3;0,01;40,0
Rocket's Porygon-Z;124;2;0,01;40,0
Incineroar;125;2;0,01;40,0
Slaking;126;2;0,01;33,33
Raging Bolt;127;2;0,01;11,11
Bloodmoon Ursaluna;128;3;0,01;12,5
Hydrapple Ogerpon;129;2;0,01;60,0
Heatran Metang;130;2;0,01;25,0
Hydrapple;131;2;0,01;33,33
Zoroark Lucario;132;1;0,0;66,67
Milotic;133;1;0,0;33,33
Future Box;134;1;0,0;0,0
