deck_name;rank;count;share;winrate
Dragapult;1;1384;6,85;52,66
Lucario Hariyama;2;1278;6,33;46,66
Dragapult Blaziken;3;1156;5,72;52,39
Alakazam Dudunsparce;4;1153;5,71;51,03
N's Zoroark;5;1059;5,24;46,38
Rocket's Mewtwo;6;1036;5,13;50,75
Dragapult Dusknoir;7;1023;5,06;45,28
Starmie Froslass;8;849;4,2;52,33
Ogerpon Meganium;9;823;4,07;55,11
Cynthia's Garchomp;11;671;3,32;51,89
Grimmsnarl Froslass;12;667;3,3;51,73
Festival Lead;13;632;3,13;52,48
Raging Bolt Ogerpon;14;573;2,84;49,73
Okidogi Barbaracle;15;523;2,59;55,14
Rocket's Honchkrow;16;467;2,31;50,72
Crustle;17;388;1,92;53,48
Slowking;18;331;1,64;49,46
Mega Absol Box;19;326;1,61;47,11
Greninja;20;309;1,53;49,96
Mega Venusaur;21;298;1,48;43,77
Steven's Metagross;22;290;1,44;47,37
Clefairy Ogerpon;23;276;1,37;52,18
Flareon Noctowl;24;248;1,23;47,4
Ogerpon Box;25;246;1,22;55,25
Mega Lucario;26;246;1,22;47,73
Ceruledge;27;194;0,96;45,04
Froslass Munkidori;28;176;0,87;48,48
Diancie Dusknoir;29;142;0,7;47,34
Hop's Trevenant;30;130;0,64;46,38
Rocket's Spidops;31;123;0,61;56,68
Dragapult Dudunsparce;32;122;0,6;53,68
Tera Box;33;122;0,6;47,46
Jellicent Dusknoir;34;117;0,58;46,58
Ursaluna Lunatone;35;110;0,54;44,96
Starmie Dusknoir;36;103;0,51;52,39
Lopunny Dudunsparce;37;103;0,51;51,88
Mega Froslass;38;100;0,5;49,12
Decidueye;39;98;0,49;44,39
Mega Starmie;40;75;0,37;44,22
Ethan's Typhlosion;41;74;0,37;39,14
Hydrapple Ogerpon;42;73;0,36;50,33
Mega Charizard X;43;70;0,35;30,23
Yanmega;44;68;0,34;54,4
Archaludon;45;65;0,32;52,99
Toxtricity Box;46;63;0,31;39,3
Hydreigon;47;52;0,26;43,27
Marnie's Grimmsnarl;48;47;0,23;49,15
Sharpedo Toxtricity;49;47;0,23;37,23
Hop's Zacian;50;44;0,22;44,81
Zygarde Barbaracle;51;44;0,22;40,22
Kangaskhan Bouffalant;52;38;0,19;46,75
Mega Abomasnow;53;38;0,19;36,31
Archaludon Zoroark;54;37;0,18;57,14
Eelektrik;55;37;0,18;36,43
Mega Dragonite;56;35;0,17;40,15
Mega Zygarde ex;57;29;0,14;45,31
Dragapult Froslass;58;28;0,14;49,07
Joltik Box;59;28;0,14;42,71
Iron Thorns Crustle;60;28;0,14;36,73
Dudunsparce Control;61;27;0,13;33,33
Palafin;63;22;0,11;37,23
Mega Diancie;64;20;0,1;44,78
Terapagos Noctowl;65;19;0,09;41,38
Iono's Bellibolt;66;16;0,08;48,05
Alolan Exeggutor ex;67;16;0,08;43,06
Toxtricity;68;16;0,08;40,0
Manectric Eelektrik;69;16;0,08;32,14
Paldean Tauros;70;16;0,08;31,51
Blaziken;71;16;0,08;25,0
Archaludon Dudunsparce;72;15;0,07;65,06
Mamoswine;73;14;0,07;13,89
Bloodmoon Ursaluna;74;13;0,06;43,48
Lillie's Clefairy;75;12;0,06;56,9
Azumarill;76;12;0,06;44,62
Heatran Metang;77;12;0,06;43,4
Blissey;78;12;0,06;41,46
Dragonite Eelektrik;79;12;0,06;37,04
Slaking;80;10;0,05;48,65
Misty's Gyarados;81;10;0,05;42,11
Mega Feraligatr;82;10;0,05;41,67
Feraligatr;83;10;0,05;31,03
Raging Bolt Bellibolt;84;9;0,04;51,43
Farigiraf;85;9;0,04;43,75
Mega Camerupt;86;8;0,04;36,11
Erika's Victreebel;87;8;0,04;27,27
Flareon;88;7;0,03;43,48
Tyranitar;89;7;0,03;27,59
Alakazam;90;6;0,03;39,29
Mega Latias;91;6;0,03;34,78
Lopunny Dusknoir;92;6;0,03;12,5
Miraidon;93;6;0,03;10,53
Mega Lopunny;94;5;0,02;45,16
Dragapult Iron Thorns;95;5;0,02;36,36
Mega Gengar;96;5;0,02;31,58
Ethan's Magcargo;97;5;0,02;20,0
Greninja Blaziken;98;4;0,02;42,86
Zoroark Crustle;99;4;0,02;40,0
Scovillain;100;4;0,02;23,08
Hydrapple;101;4;0,02;20,0
Scizor;102;4;0,02;16,67
Farigiraf Milotic;103;3;0,01;63,64
Rocket's Porygon-Z;104;3;0,01;50,0
Cinderace;105;3;0,01;50,0
Mega Kangaskhan;106;3;0,01;50,0
Rocket's Nidoking;107;3;0,01;50,0
Greninja Froslass;108;3;0,01;50,0
Mega Sharpedo;109;3;0,01;45,45
Okidogi;110;3;0,01;42,86
Zoroark Lucario;111;3;0,01;40,0
Flygon;112;3;0,01;40,0
Future Box;113;2;0,01;54,55
Luxray;114;2;0,01;37,5
Iron Thorns;115;2;0,01;28,57
Mega Manectric;116;2;0,01;23,08
Incineroar;117;1;0,0;50,0
Sinistcha Ogerpon;118;1;0,0;40,0
Milotic;119;1;0,0;37,5
Raging Bolt;120;1;0,0;25,0
Toxtricity Brute Bonnet;121;1;0,0;0,0
Gengar;122;1;0,0;0,0
Seaking Festival Lead;123;1;0,0;0,0
Gholdengo Lunatone;124;1;0,0;0,0
