deck_name;rank;count;share;winrate
Dragapult;1;1829;8,34;52,77
Dragapult Dusknoir;2;1344;6,13;51,4
Slowking;3;1263;5,76;51,67
Mega Greninja;4;1248;5,69;43,86
N's Zoroark;5;1125;5,13;49,67
Alakazam Dudunsparce;6;962;4,39;51,67
Beedrill;7;866;3,95;49,43
Ogerpon Meganium Hydrapple;8;755;3,44;52,79
Lucario Hariyama;9;664;3,03;47,41
Rocket's Honchkrow;10;625;2,85;52,72
Dragapult Blaziken;11;618;2,82;54,24
Raging Bolt Ogerpon;12;590;2,69;51,73
Rocket's Mewtwo;13;485;2,21;47,43
Festival Lead;14;477;2,18;50,6
Crustle;15;451;2,06;53,45
Lopunny Dudunsparce;16;451;2,06;48,22
Hop's Trevenant;17;341;1,56;48,26
Mega Lucario;18;343;1,56;49,38
Starmie Dusknoir;19;336;1,53;43,17
Cynthia's Garchomp;20;333;1,52;51,54
Basic Box;21;326;1,49;52,36
Greninja;22;310;1,41;48,88
Starmie Froslass;23;293;1,34;45,82
Dragapult Dudunsparce;24;265;1,21;50,16
Ceruledge;25;253;1,15;46,63
Metagross;26;238;1,09;53,37
Grimmsnarl Froslass;27;231;1,05;51,42
Ethan's Typhlosion;28;221;1,01;50,26
Diancie Dusknoir;29;194;0,89;50,46
Archaludon Dudunsparce;30;167;0,76;52,65
Mega Starmie;31;167;0,76;47,68
Mega Venusaur;32;160;0,73;47,5
Okidogi Barbaracle;33;142;0,65;53,26
Lillie's Clefairy;34;133;0,61;44,94
Mega Absol Box;35;118;0,54;51,57
Manectric Eelektrik;36;115;0,52;40,09
Ursaluna Lunatone;37;108;0,49;43,67
Hydreigon;38;105;0,48;40,9
Steven's Metagross;39;104;0,47;41,1
Ogerpon Meganium Arboliva;40;94;0,43;49,29
Kangaskhan Bouffalant;41;88;0,4;50,92
Doublade;42;85;0,39;44,31
Mega Charizard X;43;82;0,37;37,93
Hop's Zacian;44;77;0,35;45,12
Toxtricity Box;45;75;0,34;54,05
Joltik Box;46;73;0,33;49,4
Mega Abomasnow;47;69;0,31;41,03
Archaludon;48;67;0,31;50,32
Mega Froslass;49;69;0,31;47,0
Flareon Noctowl;50;69;0,31;39,68
Ogerpon Meganium;51;64;0,29;38,21
Yanmega;52;61;0,28;43,73
Mega Dragonite;53;54;0,25;49,49
Sylveon;54;53;0,24;44,39
Sharpedo Toxtricity;55;49;0,22;41,63
Palafin;56;47;0,21;44,2
Clefairy Ogerpon;57;47;0,21;48,19
Froslass Dudunsparce;58;47;0,21;35,06
Decidueye;59;44;0,2;41,67
Tera Box;60;44;0,2;46,01
Froslass Munkidori;61;42;0,19;41,24
Blaziken;62;35;0,16;46,31
Mega Diancie;63;33;0,15;40,63
Marnie's Grimmsnarl;64;31;0,14;36,61
Iono's Bellibolt;65;28;0,13;44,88
Bronzong;66;26;0,12;40,57
Mega Feraligatr;67;27;0,12;35,05
Mega Lopunny;68;25;0,11;56,62
Sinistcha Ogerpon;69;25;0,11;54,37
Mega Zygarde;70;25;0,11;37,78
Blaziken Zoroark;71;21;0,1;54,55
Misty's Gyarados;72;19;0,09;45,95
Azumarill;73;20;0,09;33,33
Okidogi;74;18;0,09;30,77
Eelektrik;75;19;0,09;32,79
Dragapult Froslass;76;18;0,08;46,07
Lopunny Dusknoir;77;18;0,08;47,14
Dudunsparce Control;78;18;0,08;37,31
Archaludon Zoroark;79;17;0,08;35,48
Jellicent Dusknoir;80;16;0,07;46,15
Rocket's Spidops;81;15;0,07;36,51
Mega Gengar;82;15;0,07;26,92
Raging Bolt Bellibolt;83;16;0,07;38,0
Alakazam;84;13;0,06;44,59
Toxtricity;85;14;0,06;36,67
Heatran Metang;86;12;0,05;56,67
Zygarde Barbaracle;87;11;0,05;45,65
Paldean Tauros;88;11;0,05;27,91
Ethan's Magcargo;89;10;0,05;37,14
Iron Thorns;90;8;0,04;39,53
Mamoswine;91;9;0,04;46,34
Blissey;92;9;0,04;50,0
Slaking;93;8;0,04;42,86
Mega Camerupt;94;8;0,04;33,33
Feraligatr;95;8;0,04;33,33
Terapagos Noctowl;96;8;0,04;52,0
Tyranitar;97;8;0,04;25,0
Mega Latias;98;9;0,04;21,74
Rocket's Nidoking;99;7;0,03;31,25
Flygon;100;6;0,03;46,88
Mega Sharpedo;101;7;0,03;33,33
Dragapult Iron Thorns;102;6;0,03;66,67
Flareon;103;6;0,03;41,67
Seaking Festival Lead;104;7;0,03;43,48
Milotic;105;4;0,02;43,48
Mega Manectric;106;4;0,02;45,45
Scizor;107;5;0,02;42,11
Hydrapple;108;4;0,02;36,84
Dragonite Eelektrik;109;4;0,02;44,44
Bloodmoon Ursaluna;110;4;0,02;33,33
Iron Thorns Crustle;111;5;0,02;57,14
Luxray;112;5;0,02;35,71
Cinderace;113;4;0,02;38,46
Alolan Exeggutor ex;114;4;0,02;50,0
Torterra;115;2;0,01;42,86
Erika's Victreebel;116;2;0,01;61,54
Incineroar;117;3;0,01;41,67
Hydrapple Ogerpon;118;3;0,01;30,0
Greninja Froslass;119;2;0,01;33,33
Toxtricity Brute Bonnet;120;2;0,01;28,57
Galvantula;121;2;0,01;16,67
Scovillain;122;1;0,0;50,0
Cornerstone Mask Ogerpon;123;1;0,0;40,0
Raging Bolt;124;1;0,0;40,0
Rocket's Porygon-Z;125;1;0,0;0,0
Ogerpon;126;1;0,0;0,0
Great Tusk Mill;127;1;0,0;50,0
Miraidon;128;1;0,0;0,0
