deck_name;rank;count;share;winrate
Mega Excadrill;1;666;7,94;49,53
Festival Lead;2;561;6,69;53,34
Dragapult Blaziken;3;507;6,05;54,38
Dragapult Dusknoir;4;485;5,78;50,97
Dhelmise;5;470;5,61;46,9
Dragapult;6;433;5,16;54,36
N's Zoroark;7;431;5,14;48,82
Alakazam Dudunsparce;8;418;4,99;55,01
Slowking;9;367;4,38;50,42
Grimmsnarl Froslass;10;279;3,33;55,11
Mega Absol Box;11;180;2,15;49,53
Mega Greninja;12;166;1,98;42,86
Rocket's Honchkrow;13;138;1,65;49,76
Ogerpon Meganium Hydrapple;14;136;1,62;52,29
Lucario Hariyama;15;126;1,5;48,13
Beedrill;16;122;1,46;52,19
Basic Box;17;108;1,29;55,09
Tera Box;18;100;1,19;52,37
Cynthia's Garchomp;19;98;1,17;54,23
Raging Bolt Ogerpon;20;84;1,0;50,66
Ceruledge;21;84;1,0;49,0
Manectric Eelektrik;22;80;0,95;42,9
Kangaskhan Bouffalant;23;71;0,85;54,17
Crustle;24;70;0,83;45,71
Mega Lucario;25;67;0,8;52,38
Rocket's Mewtwo;26;63;0,75;45,75
Ethan's Typhlosion;27;63;0,75;47,08
Wailord;28;62;0,74;41,56
Mega Venusaur;29;59;0,7;42,32
Toxtricity Box;30;55;0,66;50,41
Toxtricity;31;51;0,61;30,37
Hop's Trevenant;32;49;0,58;45,45
Terapagos Noctowl;33;48;0,57;51,68
Lopunny Dudunsparce;34;45;0,54;52,55
Starmie Froslass;35;44;0,52;44,21
Blaziken Zoroark;36;36;0,43;57,24
Metagross;37;33;0,39;48,8
Iron Thorns;38;33;0,39;31,48
Steven's Metagross;39;31;0,37;50,0
Lillie's Clefairy;40;30;0,36;49,32
Starmie Dusknoir;41;29;0,35;44,44
Greninja;42;28;0,33;50,78
Mega Abomasnow;43;28;0,33;35,54
Froslass Munkidori;44;28;0,33;42,31
Mega Charizard X;45;26;0,31;33,33
Zygarde Barbaracle;46;25;0,3;53,19
Mega Dragonite;47;24;0,29;44,86
Flareon Noctowl;48;24;0,29;50,0
Doublade;49;24;0,29;43,01
Marnie's Grimmsnarl;50;24;0,29;38,89
Dragapult Dudunsparce;51;22;0,26;51,58
Archaludon;52;21;0,25;34,57
Erika's Victreebel;53;19;0,23;49,45
Hydreigon;54;18;0,21;32,43
Okidogi Barbaracle;55;16;0,19;38,33
Mega Feraligatr;56;16;0,19;25,0
Archaludon Zoroark;57;15;0,18;41,3
Froslass Dudunsparce;58;14;0,17;41,67
Mega Starmie;59;13;0,16;44,9
Diancie Dusknoir;60;11;0,13;36,84
Rocket's Nidoking;61;10;0,12;44,62
Ogerpon Meganium Arboliva;62;10;0,12;56,14
Decidueye;63;10;0,12;33,33
Sharpedo Toxtricity;64;9;0,11;40,0
Ogerpon Meganium;65;9;0,11;37,84
Iono's Bellibolt;66;9;0,11;41,18
Palafin;67;8;0,1;54,76
Ursaluna Lunatone;68;8;0,1;50,0
Eelektrik;69;7;0,08;45,0
Dudunsparce Control;70;7;0,08;42,86
Joltik Box;71;7;0,08;39,29
Flygon;72;7;0,08;40,74
Dragapult Froslass;73;7;0,08;42,31
Hop's Zacian;74;6;0,07;52,78
Blissey;75;6;0,07;53,57
Misty's Gyarados;76;6;0,07;30,43
Mega Gengar;77;6;0,07;35,0
Blaziken;78;5;0,06;47,83
Gengar;79;5;0,06;30,0
Mega Froslass;80;5;0,06;31,58
Mega Sharpedo;81;5;0,06;27,78
Archaludon Dudunsparce;82;5;0,06;25,0
Paldean Tauros;83;5;0,06;46,15
Mega Manectric;84;4;0,05;52,38
Bronzong;85;4;0,05;52,38
Mega Lopunny;86;4;0,05;43,75
Mega Camerupt;87;4;0,05;37,5
Rocket's Spidops;88;4;0,05;26,67
Sinistcha Ogerpon;89;3;0,04;59,09
Yanmega;90;3;0,04;27,27
Sylveon;91;3;0,04;18,18
Clefairy Ogerpon;92;3;0,04;50,0
Mega Zygarde;93;2;0,02;30,77
Farigiraf;94;2;0,02;50,0
Seaking Festival Lead;95;2;0,02;45,45
Lopunny Dusknoir;96;2;0,02;50,0
Dragonite Eelektrik;97;2;0,02;40,0
Mamoswine;98;2;0,02;44,44
Zoroark Crustle;99;2;0,02;50,0
Mega Latias;100;2;0,02;33,33
Jellicent Dusknoir;101;2;0,02;25,0
Okidogi;102;2;0,02;25,0
Scovillain;103;1;0,01;62,5
Toxtricity Brute Bonnet;104;1;0,01;42,86
Mega Diancie;105;1;0,01;50,0
Tyranitar;106;1;0,01;33,33
Alakazam;107;1;0,01;60,0
Cornerstone Mask Ogerpon;108;1;0,01;20,0
Raging Bolt;109;1;0,01;0,0
Flareon;110;1;0,01;50,0
Scizor;111;1;0,01;50,0
Raging Bolt Bellibolt;112;1;0,01;25,0
Hydrapple Ogerpon;113;1;0,01;100,0
Milotic;114;1;0,01;33,33
Ethan's Magcargo;115;1;0,01;33,33
Hydrapple;116;1;0,01;50,0
