deck_name;rank;count;share;winrate
Mega Excadrill;1;2591;7,78;48,9
Dragapult;2;2404;7,22;54,09
Festival Lead;3;2113;6,35;50,8
Dragapult Blaziken;4;1999;6,0;52,68
Slowking;5;1831;5,5;52,42
Alakazam Dudunsparce;6;1805;5,42;53,58
Dragapult Dusknoir;7;1801;5,41;50,01
N's Zoroark;8;1721;5,17;48,14
Grimmsnarl Froslass;9;1476;4,43;51,47
Dhelmise;10;1342;4,03;48,11
Toucannon;11;973;2,92;47,19
Raging Bolt Ogerpon;12;719;2,16;53,28
Mega Lucario;13;641;1,93;50,16
Lucario Hariyama;14;576;1,73;48,76
Mega Greninja;15;522;1,57;41,74
Basic Box;16;495;1,49;52,55
Ogerpon Meganium Hydrapple;17;455;1,37;51,21
Rocket's Honchkrow;18;429;1,29;49,87
Cynthia's Garchomp;19;395;1,19;52,17
Mega Chandelure;20;395;1,19;42,04
Beedrill;21;370;1,11;49,0
Mega Absol Box;22;353;1,06;46,91
Kangaskhan Bouffalant;23;271;0,81;50,71
Manectric Eelektrik;24;259;0,78;43,11
Crustle;25;257;0,77;47,85
Ethan's Typhlosion;26;251;0,75;46,11
Greninja;27;247;0,74;51,01
Rocket's Mewtwo;28;239;0,72;44,77
Hop's Trevenant;29;234;0,7;47,16
Toxtricity Box;30;221;0,66;51,09
Starmie Froslass;31;215;0,65;48,2
Ceruledge;32;217;0,65;48,37
Mega Venusaur;33;195;0,59;42,87
Ogerpon Meganium Arboliva;34;179;0,54;55,27
Dragapult Dudunsparce;35;178;0,53;55,22
Lopunny Dudunsparce;36;177;0,53;51,91
Mega Starmie;37;155;0,47;50,96
Lopunny Dusknoir;38;155;0,47;49,78
Mega Darkrai;39;149;0,45;38,41
Starmie Dusknoir;40;142;0,43;46,33
Cinccino;41;136;0,41;50,23
Toxtricity;42;123;0,37;36,93
Blaziken Zoroark;43;120;0,36;48,46
Wailord;44;106;0,32;39,55
Steven's Metagross;45;104;0,31;49,55
Clefairy Ogerpon;46;99;0,3;48,91
Froslass Munkidori;47;93;0,28;41,47
Lillie's Clefairy;48;87;0,26;50,0
Mega Froslass;49;85;0,26;38,23
Okidogi Barbaracle;50;84;0,25;48,51
Mega Abomasnow;51;82;0,25;37,5
Metagross;52;74;0,22;48,52
Mega Dragonite;53;67;0,2;48,03
Mega Charizard X;54;66;0,2;31,95
Doublade;55;65;0,2;43,4
Flareon Noctowl;56;64;0,19;46,97
Sharpedo Toxtricity;57;63;0,19;40,08
Marnie's Grimmsnarl;58;60;0,18;46,4
Tera Box;59;60;0,18;50,42
Diancie Dusknoir;60;59;0,18;47,95
Erika's Victreebel;61;55;0,17;40,93
Hydreigon;62;55;0,17;32,84
Iron Thorns;63;55;0,17;32,29
Zygarde Barbaracle;64;54;0,16;48,39
Froslass Dudunsparce;65;52;0,16;39,41
Palafin;66;45;0,14;48,65
Hop's Zacian;67;47;0,14;44,66
Ogerpon Meganium;68;45;0,14;41,97
Iono's Bellibolt;69;43;0,13;39,05
Archaludon;70;39;0,12;35,92
Bronzong;71;37;0,11;48,03
Ursaluna Lunatone;72;36;0,11;40,15
Mega Feraligatr;73;38;0,11;30,58
Yanmega;74;32;0,1;45,45
Decidueye;75;30;0,09;37,74
Rocket's Nidoking;76;24;0,07;38,14
Mega Camerupt;77;24;0,07;35,9
Azumarill;78;22;0,07;45,0
Jellicent Dusknoir;79;22;0,07;43,04
Archaludon Dudunsparce;80;20;0,06;33,33
Joltik Box;81;20;0,06;42,5
Dragapult Froslass;82;19;0,06;44,16
Archaludon Zoroark;83;21;0,06;42,47
Blaziken;84;19;0,06;35,94
Sinistcha Ogerpon;85;17;0,05;56,52
Eelektrik;86;17;0,05;40,0
Blissey;87;17;0,05;49,32
Mega Zygarde;88;17;0,05;34,25
Gengar;89;17;0,05;30,3
Greninja Blaziken;90;16;0,05;57,58
Ethan's Magcargo;91;18;0,05;39,68
Terapagos Noctowl;92;15;0,05;43,55
Misty's Gyarados;93;15;0,05;32,2
Paldean Tauros;94;16;0,05;51,72
Rocket's Spidops;95;13;0,04;32,0
Mamoswine;96;12;0,04;36,96
Dudunsparce Control;97;11;0,03;45,0
Sylveon;98;11;0,03;32,43
Feraligatr;99;11;0,03;36,11
Mega Lopunny;100;10;0,03;36,11
Scizor;101;10;0,03;42,86
Flygon;102;9;0,03;35,71
Mega Gengar;103;10;0,03;11,54
Raging Bolt Bellibolt;104;7;0,02;39,39
Scovillain;105;6;0,02;46,88
Seaking Festival Lead;106;5;0,02;59,38
Alakazam;107;6;0,02;40,0
Dragonite Eelektrik;108;5;0,02;31,82
Mega Sharpedo;109;7;0,02;33,33
Cinderace;110;5;0,02;47,62
Mega Latias;111;5;0,02;42,11
Flareon;112;5;0,02;35,29
Luxray;113;5;0,02;43,75
Zoroark Crustle;114;5;0,02;30,77
Mega Manectric;115;4;0,01;52,38
Mega Diancie;116;4;0,01;47,62
Toxtricity Brute Bonnet;117;3;0,01;50,0
Tyranitar;118;3;0,01;30,77
Cornerstone Mask Ogerpon;119;3;0,01;16,67
Dragapult Zoroark;120;2;0,01;36,36
Alolan Exeggutor ex;121;2;0,01;27,27
Okidogi;122;3;0,01;40,0
Rocket's Porygon-Z;123;2;0,01;40,0
Incineroar;124;2;0,01;40,0
Slaking;125;2;0,01;33,33
Raging Bolt;126;2;0,01;11,11
Bloodmoon Ursaluna;127;3;0,01;12,5
Hydrapple Ogerpon;128;2;0,01;60,0
Hydrapple;129;2;0,01;33,33
Zoroark Lucario;130;1;0,0;66,67
Milotic;131;1;0,0;33,33
Heatran Metang;132;1;0,0;0,0
Future Box;133;1;0,0;0,0
