deck_name;rank;count;share;winrate
Dragapult;1;1417;6,81;52,59
Lucario Hariyama;2;1310;6,29;46,75
Dragapult Blaziken;3;1184;5,69;52,62
Alakazam Dudunsparce;4;1177;5,66;51,13
N's Zoroark;5;1088;5,23;46,52
Rocket's Mewtwo;6;1064;5,11;50,68
Dragapult Dusknoir;7;1057;5,08;45,33
Starmie Froslass;8;872;4,19;52,17
Ogerpon Meganium;9;851;4,09;54,92
Cynthia's Garchomp;11;692;3,33;51,69
Grimmsnarl Froslass;12;684;3,29;51,58
Festival Lead;13;663;3,19;52,27
Raging Bolt Ogerpon;14;592;2,84;49,49
Okidogi Barbaracle;15;539;2,59;55,38
Rocket's Honchkrow;16;478;2,3;50,77
Crustle;17;412;1,98;53,1
Slowking;18;335;1,61;49,36
Mega Absol Box;19;331;1,59;47,21
Greninja;20;320;1,54;49,79
Mega Venusaur;21;303;1,46;43,67
Steven's Metagross;22;301;1,45;47,23
Clefairy Ogerpon;23;280;1,35;51,95
Mega Lucario;24;255;1,23;47,82
Ogerpon Box;25;250;1,2;55,6
Flareon Noctowl;26;250;1,2;47,41
Ceruledge;27;198;0,95;45,02
Froslass Munkidori;28;178;0,86;48,49
Dragapult Dudunsparce;29;152;0,73;53,48
Diancie Dusknoir;30;152;0,73;47,85
Hop's Trevenant;31;134;0,64;46,47
Rocket's Spidops;32;128;0,62;56,21
Tera Box;33;123;0,59;47,38
Ursaluna Lunatone;34;121;0,58;45,25
Jellicent Dusknoir;35;117;0,56;46,58
Starmie Dusknoir;36;116;0,56;51,91
Lopunny Dudunsparce;37;111;0,53;52,23
Mega Froslass;38;101;0,49;48,79
Decidueye;39;101;0,49;44,07
Ethan's Typhlosion;40;79;0,38;38,79
Mega Starmie;41;75;0,36;44,22
Hydrapple Ogerpon;42;73;0,35;50,33
Yanmega;43;72;0,35;54,17
Mega Charizard X;44;70;0,34;30,23
Archaludon;45;68;0,33;53,36
Toxtricity Box;46;65;0,31;39,41
Hydreigon;47;54;0,26;42,25
Sharpedo Toxtricity;48;48;0,23;37,11
Marnie's Grimmsnarl;49;47;0,23;49,15
Hop's Zacian;50;45;0,22;46,07
Zygarde Barbaracle;51;45;0,22;40,64
Kangaskhan Bouffalant;52;40;0,19;47,16
Mega Abomasnow;53;40;0,19;35,84
Archaludon Zoroark;54;39;0,19;55,67
Eelektrik;55;38;0,18;36,15
Mega Dragonite;56;36;0,17;39,29
Mega Zygarde ex;57;30;0,14;45,45
Dudunsparce Control;58;30;0,14;34,23
Dragapult Froslass;59;28;0,13;49,07
Joltik Box;60;28;0,13;42,71
Iron Thorns Crustle;61;28;0,13;36,73
Palafin;63;23;0,11;38,38
Mega Diancie;64;20;0,1;44,78
Terapagos Noctowl;65;19;0,09;41,38
Manectric Eelektrik;66;17;0,08;30,51
Archaludon Dudunsparce;67;16;0,08;64,77
Iono's Bellibolt;68;16;0,08;48,05
Alolan Exeggutor ex;69;16;0,08;43,06
Toxtricity;70;16;0,08;40,0
Paldean Tauros;71;16;0,08;31,51
Blaziken;72;16;0,08;25,0
Mamoswine;73;14;0,07;13,89
Azumarill;74;13;0,06;44,29
Bloodmoon Ursaluna;75;13;0,06;43,48
Lillie's Clefairy;76;12;0,06;56,9
Heatran Metang;77;12;0,06;43,4
Blissey;78;12;0,06;41,46
Dragonite Eelektrik;79;12;0,06;37,04
Mega Camerupt;80;11;0,05;34,09
Slaking;81;10;0,05;48,65
Misty's Gyarados;82;10;0,05;42,11
Mega Feraligatr;83;10;0,05;41,67
Feraligatr;84;10;0,05;31,03
Raging Bolt Bellibolt;85;9;0,04;51,43
Farigiraf;86;9;0,04;43,75
Erika's Victreebel;87;8;0,04;27,27
Flareon;88;7;0,03;43,48
Tyranitar;89;7;0,03;27,59
Lopunny Dusknoir;90;7;0,03;25,0
Alakazam;91;6;0,03;39,29
Mega Gengar;92;6;0,03;37,5
Mega Latias;93;6;0,03;34,78
Miraidon;94;6;0,03;10,53
Mega Lopunny;95;5;0,02;45,16
Zoroark Crustle;96;5;0,02;40,0
Dragapult Iron Thorns;97;5;0,02;36,36
Ethan's Magcargo;98;5;0,02;20,0
Greninja Blaziken;99;4;0,02;42,86
Scovillain;100;4;0,02;23,08
Hydrapple;101;4;0,02;20,0
Scizor;102;4;0,02;16,67
Farigiraf Milotic;103;3;0,01;63,64
Greninja Froslass;104;3;0,01;50,0
Rocket's Nidoking;105;3;0,01;50,0
Mega Kangaskhan;106;3;0,01;50,0
Cinderace;107;3;0,01;50,0
Rocket's Porygon-Z;108;3;0,01;50,0
Mega Sharpedo;109;3;0,01;45,45
Okidogi;110;3;0,01;42,86
Zoroark Lucario;111;3;0,01;40,0
Flygon;112;3;0,01;40,0
Mega Manectric;113;3;0,01;27,78
Toxtricity Brute Bonnet;114;2;0,01;61,54
Future Box;115;2;0,01;54,55
Sinistcha Ogerpon;116;2;0,01;50,0
Luxray;117;2;0,01;37,5
Iron Thorns;118;2;0,01;28,57
Incineroar;119;1;0,0;50,0
Milotic;120;1;0,0;37,5
Raging Bolt;121;1;0,0;25,0
Gengar;122;1;0,0;0,0
Seaking Festival Lead;123;1;0,0;0,0
Gholdengo Lunatone;124;1;0,0;0,0
