deck_name;rank;count;share;winrate
Dragapult;1;2521;7,82;52,97
Dragapult Dusknoir;2;2138;6,63;51,16
N's Zoroark;3;2012;6,24;49,15
Slowking;4;1878;5,82;52,34
Mega Greninja;5;1771;5,49;43,7
Alakazam Dudunsparce;6;1391;4,31;51,96
Beedrill;7;1198;3,71;49,23
Ogerpon Meganium Hydrapple;8;1043;3,23;52,67
Dragapult Blaziken;9;1016;3,15;54,04
Lucario Hariyama;10;899;2,79;48,22
Rocket's Honchkrow;11;890;2,76;53,04
Festival Lead;12;813;2,52;50,53
Raging Bolt Ogerpon;13;732;2,27;51,43
Crustle;14;701;2,17;53,05
Rocket's Mewtwo;15;668;2,07;47,74
Lopunny Dudunsparce;16;584;1,81;48,21
Basic Box;17;526;1,63;52,0
Cynthia's Garchomp;18;522;1,62;51,92
Mega Lucario;19;497;1,54;48,61
Hop's Trevenant;20;472;1,46;46,89
Starmie Froslass;21;417;1,29;46,45
Starmie Dusknoir;22;408;1,27;44,55
Metagross;23;386;1,2;52,9
Ethan's Typhlosion;24;382;1,18;49,65
Greninja;25;376;1,17;48,96
Ceruledge;26;374;1,16;45,13
Grimmsnarl Froslass;27;372;1,15;52,65
Dragapult Dudunsparce;28;299;0,93;50,14
Mega Absol Box;29;257;0,8;50,62
Mega Venusaur;30;246;0,76;47,4
Diancie Dusknoir;31;241;0,75;50,14
Archaludon Dudunsparce;32;199;0,62;51,33
Mega Starmie;33;189;0,59;46,95
Okidogi Barbaracle;34;190;0,59;53,22
Manectric Eelektrik;35;187;0,58;39,51
Lillie's Clefairy;36;183;0,57;44,63
Kangaskhan Bouffalant;37;158;0,49;47,87
Hydreigon;38;151;0,47;40,49
Steven's Metagross;39;145;0,45;43,99
Ursaluna Lunatone;40;134;0,42;42,55
Doublade;41;132;0,41;42,69
Toxtricity Box;42;127;0,39;51,85
Archaludon;43;119;0,37;47,93
Ogerpon Meganium Arboliva;44;112;0,35;49,19
Flareon Noctowl;45;114;0,35;45,86
Froslass Dudunsparce;46;111;0,34;46,11
Mega Charizard X;47;107;0,33;38,82
Mega Dragonite;48;106;0,33;44,2
Joltik Box;49;101;0,31;49,09
Sharpedo Toxtricity;50;95;0,29;40,05
Mega Froslass;51;93;0,29;44,9
Marnie's Grimmsnarl;52;95;0,29;42,25
Hop's Zacian;53;91;0,28;45,5
Mega Abomasnow;54;84;0,26;41,94
Ogerpon Meganium;55;85;0,26;41,46
Yanmega;56;79;0,24;42,22
Palafin;57;77;0,24;42,28
Sylveon;58;77;0,24;42,01
Froslass Munkidori;59;74;0,23;42,95
Blaziken Zoroark;60;66;0,2;50,36
Clefairy Ogerpon;61;61;0,19;48,0
Tera Box;62;61;0,19;46,19
Decidueye;63;59;0,18;39,33
Archaludon Zoroark;64;50;0,16;43,98
Rocket's Spidops;65;42;0,13;48,66
Blaziken;66;42;0,13;44,44
Iono's Bellibolt;67;41;0,13;43,43
Mega Zygarde;68;41;0,13;41,77
Bronzong;69;41;0,13;40,0
Sinistcha Ogerpon;70;39;0,12;50,66
Mega Feraligatr;71;40;0,12;31,82
Mega Diancie;72;36;0,11;42,37
Jellicent Dusknoir;73;31;0,1;54,23
Eelektrik;74;32;0,1;35,64
Mega Lopunny;75;30;0,09;55,77
Flygon;76;25;0,08;40,0
Dudunsparce Control;77;25;0,08;35,63
Alakazam;78;24;0,07;44,36
Dragapult Froslass;79;24;0,07;48,33
Toxtricity;80;22;0,07;41,41
Misty's Gyarados;81;24;0,07;42,22
Paldean Tauros;82;23;0,07;37,08
Azumarill;83;22;0,07;32,91
Raging Bolt Bellibolt;84;23;0,07;37,18
Terapagos Noctowl;85;21;0,07;44,59
Ethan's Magcargo;86;22;0,07;32,86
Zygarde Barbaracle;87;20;0,06;42,53
Lopunny Dusknoir;88;20;0,06;50,0
Mega Camerupt;89;19;0,06;36,36
Okidogi;90;21;0,06;29,58
Heatran Metang;91;17;0,05;60,92
Mega Gengar;92;17;0,05;29,03
Blissey;93;15;0,05;53,23
Mamoswine;94;12;0,04;45,28
Flareon;95;12;0,04;32,61
Feraligatr;96;14;0,04;28,89
Mega Latias;97;12;0,04;21,21
Iron Thorns;98;11;0,03;40,82
Mega Sharpedo;99;11;0,03;35,71
Slaking;100;10;0,03;37,14
Seaking Festival Lead;101;9;0,03;50,0
Tyranitar;102;9;0,03;23,08
Cinderace;103;9;0,03;22,73
Gengar;104;8;0,02;48,72
Mega Manectric;105;7;0,02;38,24
Rocket's Nidoking;106;7;0,02;31,25
Dragapult Iron Thorns;107;6;0,02;66,67
Incineroar;108;5;0,02;45,83
Galvantula;109;7;0,02;27,27
Alolan Exeggutor ex;110;6;0,02;47,62
Bloodmoon Ursaluna;111;5;0,02;28,57
Dragonite Eelektrik;112;5;0,02;40,0
Scizor;113;5;0,02;42,11
Iron Thorns Crustle;114;6;0,02;50,0
Luxray;115;5;0,02;35,71
Torterra;116;4;0,01;43,48
Milotic;117;4;0,01;43,48
Hydrapple;118;4;0,01;36,84
Scovillain;119;4;0,01;35,71
Greninja Froslass;120;3;0,01;38,46
Erika's Victreebel;121;2;0,01;61,54
Greninja Blaziken;122;3;0,01;25,0
Raging Bolt;123;4;0,01;27,27
Hydrapple Ogerpon;124;3;0,01;30,0
Toxtricity Brute Bonnet;125;2;0,01;28,57
Cornerstone Mask Ogerpon;126;1;0,0;40,0
Zoroark Crustle;127;1;0,0;40,0
Future Box;128;1;0,0;25,0
Rocket's Porygon-Z;129;1;0,0;0,0
Ogerpon;130;1;0,0;0,0
Great Tusk Mill;131;1;0,0;50,0
Miraidon;132;1;0,0;0,0
