deck_name;rank;count;share;winrate
Dragapult;1;323;8,97;52,12
Mega Greninja;2;275;7,64;42,65
Dragapult Dusknoir;3;215;5,97;50,83
Beedrill;4;165;4,58;53,11
Slowking;5;161;4,47;52,88
N's Zoroark;6;148;4,11;52,5
Lopunny Dudunsparce;7;148;4,11;48,05
Ogerpon Meganium Hydrapple;8;145;4,03;55,1
Lucario Hariyama;9;140;3,89;49,7
Raging Bolt Ogerpon;10;140;3,89;51,51
Rocket's Mewtwo;11;110;3,06;46,5
Alakazam Dudunsparce;12;104;2,89;48,43
Rocket's Honchkrow;13;99;2,75;50,0
Cynthia's Garchomp;14;89;2,47;51,04
Dragapult Blaziken;15;79;2,2;52,07
Starmie Dusknoir;16;78;2,17;47,2
Dragapult Dudunsparce;17;73;2,03;50,0
Starmie Froslass;18;61;1,69;47,14
Festival Lead;19;61;1,69;44,49
Greninja;20;53;1,47;49,59
Grimmsnarl Froslass;21;53;1,47;51,05
Crustle;22;44;1,22;59,72
Mega Lucario;23;43;1,19;51,63
Basic Box;24;42;1,17;49,51
Ceruledge;25;38;1,06;47,56
Ogerpon Meganium Arboliva;26;33;0,92;46,27
Okidogi Barbaracle;27;32;0,89;59,44
Mega Starmie;28;30;0,83;48,61
Hop's Trevenant;29;25;0,69;49,09
Ethan's Typhlosion;30;23;0,64;53,15
Archaludon Dudunsparce;31;22;0,61;57,52
Metagross;32;21;0,58;54,81
Ursaluna Lunatone;33;20;0,56;35,94
Hydreigon;34;18;0,5;41,98
Mega Venusaur;35;18;0,5;46,38
Mega Abomasnow;36;17;0,47;41,11
Hop's Zacian;37;16;0,44;56,25
Archaludon;38;15;0,42;51,9
Mega Charizard X;39;15;0,42;42,86
Steven's Metagross;40;15;0,42;37,29
Clefairy Ogerpon;41;14;0,39;53,66
Diancie Dusknoir;42;13;0,36;51,06
Mega Froslass;43;11;0,31;57,14
Froslass Dudunsparce;44;11;0,31;31,71
Mega Zygarde;45;11;0,31;37,5
Kangaskhan Bouffalant;46;11;0,31;54,05
Flareon Noctowl;47;10;0,28;44,0
Yanmega;48;8;0,22;52,78
Doublade;49;8;0,22;50,0
Decidueye;50;8;0,22;34,48
Manectric Eelektrik;51;7;0,19;48,72
Bronzong;52;7;0,19;48,48
Froslass Munkidori;53;7;0,19;45,45
Mega Dragonite;54;7;0,19;61,54
Ogerpon Meganium;55;6;0,17;40,0
Sharpedo Toxtricity;56;6;0,17;45,45
Joltik Box;57;5;0,14;56,52
Tera Box;58;5;0,14;50,0
Mega Absol Box;59;5;0,14;52,94
Rocket's Spidops;60;5;0,14;37,5
Mega Lopunny;61;4;0,11;63,33
Paldean Tauros;62;4;0,11;30,0
Dragapult Froslass;63;4;0,11;44,44
Okidogi;64;4;0,11;33,33
Toxtricity Box;65;4;0,11;60,0
Mega Gengar;66;3;0,08;35,71
Mega Feraligatr;67;3;0,08;38,46
Iono's Bellibolt;68;3;0,08;33,33
Raging Bolt Bellibolt;69;3;0,08;0,0
Mega Diancie;70;2;0,06;41,67
Palafin;71;2;0,06;40,0
Eelektrik;72;2;0,06;30,0
Hydrapple Ogerpon;73;2;0,06;28,57
Blaziken;74;2;0,06;14,29
Dudunsparce Control;75;2;0,06;0,0
Toxtricity;76;2;0,06;0,0
Heatran Metang;77;1;0,03;62,5
Marnie's Grimmsnarl;78;1;0,03;33,33
Slaking;79;1;0,03;33,33
Blaziken Zoroark;80;1;0,03;80,0
Dragapult Iron Thorns;81;1;0,03;80,0
Alakazam;82;1;0,03;20,0
Milotic;83;1;0,03;20,0
Mamoswine;84;1;0,03;75,0
Galvantula;85;1;0,03;25,0
Hydrapple;86;1;0,03;0,0
Azumarill;87;1;0,03;66,67
Ethan's Magcargo;88;1;0,03;33,33
Ogerpon;89;1;0,03;0,0
Mega Sharpedo;90;1;0,03;50,0
Jellicent Dusknoir;91;1;0,03;50,0
Cinderace;92;1;0,03;0,0
Archaludon Zoroark;93;1;0,03;0,0
Misty's Gyarados;94;1;0,03;0,0
