deck_name;rank;count;share;winrate
Mega Excadrill;1;735;7,94;49,97
Festival Lead;2;613;6,62;53,01
Dragapult Blaziken;3;570;6,15;54,44
Dragapult Dusknoir;4;536;5,79;50,78
Dhelmise;5;509;5,5;47,16
Dragapult;6;499;5,39;54,31
N's Zoroark;7;471;5,09;49,01
Alakazam Dudunsparce;8;456;4,92;54,83
Slowking;9;396;4,28;50,42
Grimmsnarl Froslass;10;336;3,63;54,56
Mega Absol Box;11;202;2,18;49,15
Mega Greninja;12;176;1,9;43,16
Ogerpon Meganium Hydrapple;13;150;1,62;52,2
Lucario Hariyama;14;145;1,57;47,95
Rocket's Honchkrow;15;145;1,57;49,53
Beedrill;16;133;1,44;52,33
Basic Box;17;124;1,34;54,45
Tera Box;18;108;1,17;52,61
Cynthia's Garchomp;19;103;1,11;53,29
Raging Bolt Ogerpon;20;95;1,03;51,16
Manectric Eelektrik;21;94;1,02;42,6
Ceruledge;22;84;0,91;49,0
Mega Lucario;23;82;0,89;53,13
Kangaskhan Bouffalant;24;79;0,85;53,87
Crustle;25;73;0,79;45,57
Ethan's Typhlosion;26;73;0,79;45,83
Rocket's Mewtwo;27;71;0,77;45,69
Toxtricity Box;28;65;0,7;48,18
Wailord;29;63;0,68;41,63
Mega Venusaur;30;62;0,67;41,77
Lopunny Dudunsparce;31;58;0,63;54,17
Terapagos Noctowl;32;53;0,57;50,97
Toxtricity;33;53;0,57;30,5
Hop's Trevenant;34;52;0,56;45,83
Starmie Froslass;35;49;0,53;42,72
Blaziken Zoroark;36;38;0,41;59,15
Steven's Metagross;37;36;0,39;49,7
Iron Thorns;38;35;0,38;33,33
Mega Charizard X;39;34;0,37;33,08
Metagross;40;33;0,36;48,8
Greninja;41;33;0,36;52,53
Starmie Dusknoir;42;32;0,35;44,88
Lillie's Clefairy;43;31;0,33;48,99
Froslass Munkidori;44;31;0,33;41,74
Mega Abomasnow;45;28;0,3;35,54
Zygarde Barbaracle;46;27;0,29;51,68
Marnie's Grimmsnarl;47;26;0,28;41,18
Mega Dragonite;48;25;0,27;44,55
Flareon Noctowl;49;25;0,27;48,48
Doublade;50;25;0,27;42,27
Dragapult Dudunsparce;51;24;0,26;54,13
Erika's Victreebel;52;22;0,24;48,54
Archaludon;53;21;0,23;34,57
Okidogi Barbaracle;54;21;0,23;41,03
Hydreigon;55;18;0,19;32,43
Mega Feraligatr;56;17;0,18;23,81
Froslass Dudunsparce;57;15;0,16;41,27
Archaludon Zoroark;58;15;0,16;41,3
Mega Starmie;59;13;0,14;44,9
Diancie Dusknoir;60;13;0,14;36,36
Rocket's Nidoking;61;11;0,12;43,48
Ogerpon Meganium Arboliva;62;11;0,12;54,24
Palafin;63;10;0,11;52,94
Sharpedo Toxtricity;64;10;0,11;43,75
Ursaluna Lunatone;65;10;0,11;46,34
Decidueye;66;10;0,11;33,33
Ogerpon Meganium;67;9;0,1;37,84
Iono's Bellibolt;68;9;0,1;41,18
Eelektrik;69;8;0,09;44,19
Dragapult Froslass;70;8;0,09;39,29
Hop's Zacian;71;7;0,08;51,22
Blissey;72;7;0,08;57,14
Dudunsparce Control;73;7;0,08;42,86
Joltik Box;74;7;0,08;39,29
Flygon;75;7;0,08;40,74
Bronzong;76;6;0,06;50,0
Misty's Gyarados;77;6;0,06;30,43
Mega Gengar;78;6;0,06;35,0
Blaziken;79;5;0,05;47,83
Mega Lopunny;80;5;0,05;40,91
Mega Camerupt;81;5;0,05;40,0
Gengar;82;5;0,05;30,0
Mega Froslass;83;5;0,05;31,58
Mega Sharpedo;84;5;0,05;27,78
Archaludon Dudunsparce;85;5;0,05;25,0
Paldean Tauros;86;5;0,05;46,15
Mega Manectric;87;4;0,04;52,38
Rocket's Spidops;88;4;0,04;26,67
Sinistcha Ogerpon;89;3;0,03;59,09
Lopunny Dusknoir;90;3;0,03;35,71
Yanmega;91;3;0,03;27,27
Sylveon;92;3;0,03;18,18
Clefairy Ogerpon;93;3;0,03;50,0
Mega Zygarde;94;2;0,02;30,77
Farigiraf;95;2;0,02;50,0
Azumarill;96;2;0,02;54,55
Seaking Festival Lead;97;2;0,02;45,45
Dragonite Eelektrik;98;2;0,02;40,0
Cornerstone Mask Ogerpon;99;2;0,02;20,0
Mamoswine;100;2;0,02;44,44
Flareon;101;2;0,02;37,5
Zoroark Crustle;102;2;0,02;50,0
Mega Latias;103;2;0,02;33,33
Jellicent Dusknoir;104;2;0,02;25,0
Okidogi;105;2;0,02;25,0
Scovillain;106;1;0,01;62,5
Toxtricity Brute Bonnet;107;1;0,01;42,86
Mega Diancie;108;1;0,01;50,0
Tyranitar;109;1;0,01;33,33
Alakazam;110;1;0,01;60,0
Luxray;111;1;0,01;60,0
Raging Bolt;112;1;0,01;0,0
Scizor;113;1;0,01;50,0
Raging Bolt Bellibolt;114;1;0,01;25,0
Hydrapple Ogerpon;115;1;0,01;100,0
Milotic;116;1;0,01;33,33
Ethan's Magcargo;117;1;0,01;33,33
Hydrapple;118;1;0,01;50,0
