deck_name;rank;count;share;winrate
Dragapult;1;1046;9,3;53,68
Mega Greninja;2;737;6,56;44,2
Dragapult Dusknoir;3;666;5,92;51,61
Slowking;4;634;5,64;51,34
Beedrill;5;501;4,46;50,04
N's Zoroark;6;451;4,01;50,13
Ogerpon Meganium Hydrapple;7;431;3,83;53,76
Alakazam Dudunsparce;8;423;3,76;50,31
Lucario Hariyama;9;381;3,39;47,53
Raging Bolt Ogerpon;10;354;3,15;50,52
Lopunny Dudunsparce;11;317;2,82;47,5
Rocket's Honchkrow;12;314;2,79;51,24
Dragapult Blaziken;13;296;2,63;54,98
Rocket's Mewtwo;14;263;2,34;46,74
Starmie Dusknoir;15;239;2,13;44,49
Festival Lead;16;228;2,03;48,13
Cynthia's Garchomp;17;197;1,75;49,46
Crustle;18;190;1,69;56,08
Dragapult Dudunsparce;19;186;1,65;50,18
Mega Lucario;20;176;1,57;51,22
Greninja;21;171;1,52;46,91
Basic Box;22;159;1,41;50,85
Starmie Froslass;23;158;1,41;44,78
Grimmsnarl Froslass;24;132;1,17;50,7
Ceruledge;25;120;1,07;47,29
Diancie Dusknoir;26;102;0,91;54,03
Metagross;27;100;0,89;53,52
Hop's Trevenant;28;99;0,88;46,14
Archaludon Dudunsparce;29;96;0,85;53,95
Okidogi Barbaracle;30;89;0,79;52,39
Mega Venusaur;31;78;0,69;39,93
Mega Starmie;32;75;0,67;46,79
Ethan's Typhlosion;33;72;0,64;51,08
Ogerpon Meganium Arboliva;34;70;0,62;46,44
Steven's Metagross;35;59;0,52;42,11
Ursaluna Lunatone;36;49;0,44;38,8
Mega Charizard X;37;47;0,42;40,11
Kangaskhan Bouffalant;38;47;0,42;46,67
Hydreigon;39;46;0,41;34,38
Hop's Zacian;40;45;0,4;47,26
Flareon Noctowl;41;44;0,39;41,48
Manectric Eelektrik;42;44;0,39;38,18
Mega Abomasnow;43;42;0,37;39,8
Doublade;44;40;0,36;45,75
Joltik Box;45;38;0,34;49,71
Yanmega;46;35;0,31;46,1
Mega Froslass;47;33;0,29;49,34
Clefairy Ogerpon;48;32;0,28;50,37
Toxtricity Box;49;29;0,26;56,12
Froslass Dudunsparce;50;28;0,25;37,27
Mega Absol Box;51;27;0,24;44,95
Tera Box;52;27;0,24;48,6
Archaludon;53;26;0,23;52,24
Mega Dragonite;54;26;0,23;51,55
Decidueye;55;22;0,2;44,0
Ogerpon Meganium;56;20;0,18;38,55
Palafin;57;19;0,17;36,78
Sharpedo Toxtricity;58;19;0,17;41,77
Mega Diancie;59;18;0,16;43,3
Froslass Munkidori;60;18;0,16;46,67
Mega Zygarde;61;16;0,14;35,59
Dudunsparce Control;62;16;0,14;34,48
Bronzong;63;15;0,13;44,44
Lillie's Clefairy;64;13;0,12;37,21
Mega Feraligatr;65;12;0,11;42,22
Mega Lopunny;66;11;0,1;54,93
Dragapult Froslass;67;11;0,1;51,72
Blaziken;68;10;0,09;33,33
Okidogi;69;9;0,08;39,02
Iono's Bellibolt;70;9;0,08;43,59
Misty's Gyarados;71;9;0,08;41,18
Azumarill;72;9;0,08;41,38
Rocket's Spidops;73;9;0,08;32,14
Raging Bolt Bellibolt;74;9;0,08;36,36
Alakazam;75;8;0,07;44,68
Heatran Metang;76;6;0,05;62,16
Jellicent Dusknoir;77;6;0,05;51,85
Paldean Tauros;78;6;0,05;23,08
Ethan's Magcargo;79;6;0,05;36,0
Milotic;80;4;0,04;43,48
Mega Gengar;81;5;0,04;28,57
Mamoswine;82;4;0,04;57,14
Marnie's Grimmsnarl;83;4;0,04;36,84
Lopunny Dusknoir;84;5;0,04;61,11
Seaking Festival Lead;85;5;0,04;37,5
Zygarde Barbaracle;86;4;0,04;56,25
Eelektrik;87;5;0,04;28,57
Dragapult Iron Thorns;88;4;0,04;69,23
Archaludon Zoroark;89;3;0,03;43,75
Mega Camerupt;90;3;0,03;12,5
Toxtricity;91;3;0,03;0,0
Terapagos Noctowl;92;2;0,02;57,14
Alolan Exeggutor ex;93;2;0,02;54,55
Hydrapple;94;2;0,02;30,0
Blissey;95;2;0,02;50,0
Flygon;96;2;0,02;37,5
Luxray;97;2;0,02;57,14
Hydrapple Ogerpon;98;2;0,02;28,57
Cinderace;99;2;0,02;28,57
Rocket's Nidoking;100;2;0,02;0,0
Blaziken Zoroark;101;2;0,02;66,67
Feraligatr;102;2;0,02;33,33
Scizor;103;1;0,01;66,67
Bloodmoon Ursaluna;104;1;0,01;50,0
Sinistcha Ogerpon;105;1;0,01;50,0
Slaking;106;1;0,01;33,33
Dragonite Eelektrik;107;1;0,01;40,0
Cornerstone Mask Ogerpon;108;1;0,01;40,0
Incineroar;109;1;0,01;25,0
Mega Manectric;110;1;0,01;25,0
Iron Thorns;111;1;0,01;25,0
Galvantula;112;1;0,01;25,0
Ogerpon;113;1;0,01;0,0
Iron Thorns Crustle;114;1;0,01;50,0
Great Tusk Mill;115;1;0,01;50,0
Mega Sharpedo;116;1;0,01;50,0
Mega Latias;117;1;0,01;0,0
Tyranitar;118;1;0,01;100,0
