deck_name;rank;count;share;winrate
Dragapult;1;1529;6,8;52,58
Lucario Hariyama;2;1384;6,16;46,9
Dragapult Blaziken;3;1275;5,67;52,43
Alakazam Dudunsparce;4;1248;5,55;51,06
N's Zoroark;5;1184;5,27;46,67
Dragapult Dusknoir;6;1148;5,11;45,78
Rocket's Mewtwo;7;1125;5,0;50,43
Starmie Froslass;8;920;4,09;52,22
Ogerpon Meganium;9;908;4,04;54,77
Festival Lead;11;761;3,38;52,57
Cynthia's Garchomp;12;757;3,37;52,09
Grimmsnarl Froslass;13;732;3,26;51,64
Raging Bolt Ogerpon;14;631;2,81;49,63
Okidogi Barbaracle;15;571;2,54;55,56
Rocket's Honchkrow;16;509;2,26;50,91
Crustle;17;456;2,03;52,84
Slowking;18;353;1,57;49,43
Mega Absol Box;19;342;1,52;47,06
Greninja;20;334;1,49;49,35
Steven's Metagross;21;318;1,41;46,92
Mega Venusaur;22;318;1,41;43,68
Clefairy Ogerpon;23;291;1,29;51,42
Mega Lucario;24;267;1,19;47,25
Flareon Noctowl;25;265;1,18;47,21
Ogerpon Box;26;263;1,17;55,36
Dragapult Dudunsparce;27;243;1,08;50,37
Ceruledge;28;206;0,92;44,39
Froslass Munkidori;29;181;0,81;48,19
Diancie Dusknoir;30;171;0,76;47,02
Starmie Dusknoir;31;161;0,72;51,55
Hop's Trevenant;32;158;0,7;48,57
Rocket's Spidops;33;145;0,64;55,87
Lopunny Dudunsparce;34;141;0,63;52,58
Ursaluna Lunatone;35;141;0,63;44,24
Tera Box;36;131;0,58;47,54
Jellicent Dusknoir;37;120;0,53;46,04
Mega Froslass;38;109;0,48;48,8
Decidueye;39;109;0,48;43,62
Ethan's Typhlosion;40;86;0,38;38,59
Hydrapple Ogerpon;41;85;0,38;51,21
Mega Starmie;42;83;0,37;45,13
Yanmega;43;80;0,36;53,95
Toxtricity Box;44;76;0,34;42,16
Archaludon;45;74;0,33;53,77
Mega Charizard X;46;72;0,32;29,43
Hydreigon;47;57;0,25;41,96
Marnie's Grimmsnarl;48;51;0,23;48,4
Sharpedo Toxtricity;49;51;0,23;36,1
Hop's Zacian;50;47;0,21;48,58
Kangaskhan Bouffalant;51;46;0,2;48,0
Zygarde Barbaracle;52;46;0,2;39,18
Mega Abomasnow;53;43;0,19;36,61
Archaludon Zoroark;54;40;0,18;55,34
Eelektrik;55;39;0,17;35,61
Mega Dragonite;56;38;0,17;38,46
Dudunsparce Control;57;34;0,15;34,62
Joltik Box;58;31;0,14;41,59
Mega Zygarde ex;59;30;0,13;45,45
Dragapult Froslass;60;29;0,13;49,12
Iron Thorns Crustle;61;28;0,12;36,73
Palafin;63;25;0,11;37,61
Archaludon Dudunsparce;64;21;0,09;61,4
Mega Diancie;65;21;0,09;43,24
Manectric Eelektrik;66;21;0,09;27,03
Iono's Bellibolt;67;20;0,09;53,4
Terapagos Noctowl;68;20;0,09;43,48
Paldean Tauros;69;19;0,08;38,89
Alolan Exeggutor ex;70;17;0,08;44,16
Toxtricity;71;17;0,08;40,58
Blaziken;72;17;0,08;24,53
Lillie's Clefairy;73;16;0,07;51,9
Mamoswine;74;14;0,06;13,89
Azumarill;75;13;0,06;44,29
Heatran Metang;76;13;0,06;43,86
Bloodmoon Ursaluna;77;13;0,06;43,48
Mega Feraligatr;78;13;0,06;38,46
Mega Camerupt;79;13;0,06;31,91
Blissey;80;12;0,05;41,46
Dragonite Eelektrik;81;12;0,05;37,04
Slaking;82;11;0,05;50,0
Farigiraf;83;11;0,05;42,86
Feraligatr;84;11;0,05;31,25
Erika's Victreebel;85;11;0,05;30,0
Misty's Gyarados;86;10;0,04;42,11
Raging Bolt Bellibolt;87;9;0,04;51,43
Tyranitar;88;9;0,04;26,47
Alakazam;89;8;0,04;37,84
Lopunny Dusknoir;90;8;0,04;32,26
Flareon;91;7;0,03;43,48
Mega Latias;92;7;0,03;39,29
Mega Lopunny;93;6;0,03;43,75
Mega Gengar;94;6;0,03;37,5
Ethan's Magcargo;95;6;0,03;28,57
Miraidon;96;6;0,03;10,53
Zoroark Crustle;97;5;0,02;40,0
Dragapult Iron Thorns;98;5;0,02;36,36
Hydrapple;99;5;0,02;25,0
Farigiraf Milotic;100;4;0,02;66,67
Mega Sharpedo;101;4;0,02;44,0
Greninja Blaziken;102;4;0,02;42,86
Mega Manectric;103;4;0,02;26,09
Scovillain;104;4;0,02;23,08
Scizor;105;4;0,02;16,67
Rocket's Nidoking;106;3;0,01;50,0
Cinderace;107;3;0,01;50,0
Rocket's Porygon-Z;108;3;0,01;50,0
Mega Kangaskhan;109;3;0,01;50,0
Greninja Froslass;110;3;0,01;50,0
Okidogi;111;3;0,01;42,86
Flygon;112;3;0,01;40,0
Zoroark Lucario;113;3;0,01;40,0
Toxtricity Brute Bonnet;114;2;0,01;61,54
Future Box;115;2;0,01;54,55
Sinistcha Ogerpon;116;2;0,01;50,0
Luxray;117;2;0,01;37,5
Iron Thorns;118;2;0,01;28,57
Incineroar;119;1;0,0;50,0
Torterra;120;1;0,0;50,0
Milotic;121;1;0,0;37,5
Raging Bolt;122;1;0,0;25,0
Gengar;123;1;0,0;0,0
Seaking Festival Lead;124;1;0,0;0,0
Gholdengo Lunatone;125;1;0,0;0,0
Cornerstone Mask Ogerpon;126;1;0,0;0,0
