deck_name;rank;count;share;winrate
Mega Excadrill;1;1778;7,76;49,98
Festival Lead;2;1581;6,9;51,61
Dragapult;3;1465;6,39;54,32
Dragapult Blaziken;4;1349;5,88;52,68
Dragapult Dusknoir;5;1244;5,43;49,65
Slowking;6;1194;5,21;52,72
N's Zoroark;7;1188;5,18;47,83
Alakazam Dudunsparce;8;1183;5,16;53,57
Grimmsnarl Froslass;9;1080;4,71;51,89
Dhelmise;10;982;4,28;47,74
Toucannon;11;853;3,72;47,5
Mega Greninja;12;390;1,7;42,4
Lucario Hariyama;13;372;1,62;48,06
Mega Lucario;14;369;1,61;51,22
Raging Bolt Ogerpon;15;366;1,6;53,7
Ogerpon Meganium Hydrapple;16;340;1,48;51,33
Rocket's Honchkrow;17;323;1,41;48,92
Basic Box;18;314;1,37;54,04
Mega Absol Box;19;310;1,35;48,27
Mega Chandelure;20;302;1,32;43,05
Beedrill;21;293;1,28;49,32
Cynthia's Garchomp;22;281;1,23;52,32
Kangaskhan Bouffalant;23;198;0,86;50,4
Manectric Eelektrik;24;190;0,83;41,53
Rocket's Mewtwo;25;170;0,74;44,81
Crustle;26;167;0,73;47,5
Ethan's Typhlosion;27;164;0,72;45,27
Toxtricity Box;28;162;0,71;50,78
Mega Venusaur;29;157;0,68;43,42
Hop's Trevenant;30;152;0,66;47,75
Ceruledge;31;152;0,66;47,86
Greninja;32;150;0,65;51,77
Starmie Froslass;33;145;0,63;48,19
Mega Darkrai;34;128;0,56;40,08
Lopunny Dudunsparce;35;104;0,45;50,68
Cinccino;36;102;0,44;51,2
Mega Starmie;37;100;0,44;53,1
Wailord;38;96;0,42;40,52
Blaziken Zoroark;39;97;0,42;49,5
Starmie Dusknoir;40;89;0,39;44,89
Dragapult Dudunsparce;41;86;0,38;54,36
Toxtricity;42;87;0,38;33,33
Steven's Metagross;43;70;0,31;50,47
Froslass Munkidori;44;68;0,3;44,78
Mega Abomasnow;45;64;0,28;38,68
Lillie's Clefairy;46;55;0,24;50,74
Metagross;47;55;0,24;45,52
Okidogi Barbaracle;48;56;0,24;45,78
Ogerpon Meganium Arboliva;49;50;0,22;54,55
Mega Dragonite;50;51;0,22;50,0
Erika's Victreebel;51;51;0,22;42,08
Flareon Noctowl;52;50;0,22;50,25
Zygarde Barbaracle;53;48;0,21;49,81
Marnie's Grimmsnarl;54;48;0,21;45,6
Mega Charizard X;55;48;0,21;30,73
Doublade;56;47;0,21;42,63
Iron Thorns;57;48;0,21;34,13
Mega Froslass;58;41;0,18;43,52
Tera Box;59;42;0,18;53,23
Diancie Dusknoir;60;41;0,18;49,38
Sharpedo Toxtricity;61;39;0,17;39,24
Lopunny Dusknoir;62;36;0,16;52,33
Froslass Dudunsparce;63;35;0,15;39,72
Iono's Bellibolt;64;34;0,15;40,71
Archaludon;65;34;0,15;32,77
Hop's Zacian;66;32;0,14;42,66
Ogerpon Meganium;67;31;0,14;43,8
Clefairy Ogerpon;68;33;0,14;45,11
Hydreigon;69;33;0,14;33,6
Mega Feraligatr;70;33;0,14;30,77
Yanmega;71;24;0,1;48,72
Palafin;72;23;0,1;52,63
Ursaluna Lunatone;73;22;0,1;43,02
Decidueye;74;23;0,1;37,8
Rocket's Nidoking;75;18;0,08;40,2
Bronzong;76;19;0,08;49,45
Archaludon Zoroark;77;18;0,08;44,07
Mega Camerupt;78;16;0,07;38,96
Blissey;79;16;0,07;48,53
Dragapult Froslass;80;16;0,07;39,34
Archaludon Dudunsparce;81;15;0,07;36,07
Gengar;82;15;0,07;28,81
Jellicent Dusknoir;83;15;0,07;37,04
Blaziken;84;15;0,07;37,74
Eelektrik;85;14;0,06;38,36
Joltik Box;86;13;0,06;42,37
Greninja Blaziken;87;13;0,06;61,82
Azumarill;88;12;0,05;31,82
Misty's Gyarados;89;11;0,05;33,33
Rocket's Spidops;90;11;0,05;28,21
Dudunsparce Control;91;10;0,04;44,44
Sinistcha Ogerpon;92;9;0,04;56,82
Mega Zygarde;93;9;0,04;35,71
Mega Lopunny;94;10;0,04;36,11
Paldean Tauros;95;10;0,04;54,29
Terapagos Noctowl;96;9;0,04;45,71
Feraligatr;97;10;0,04;38,24
Ethan's Magcargo;98;10;0,04;35,48
Scizor;99;9;0,04;44,0
Flygon;100;7;0,03;40,0
Sylveon;101;6;0,03;28,57
Mega Gengar;102;6;0,03;12,5
Scovillain;103;4;0,02;51,72
Alakazam;104;5;0,02;43,48
Dragonite Eelektrik;105;5;0,02;31,82
Mega Manectric;106;4;0,02;52,38
Raging Bolt Bellibolt;107;5;0,02;35,0
Mega Sharpedo;108;5;0,02;38,89
Luxray;109;4;0,02;42,86
Zoroark Crustle;110;4;0,02;33,33
Cornerstone Mask Ogerpon;111;3;0,01;16,67
Mega Diancie;112;2;0,01;41,67
Cinderace;113;2;0,01;54,55
Seaking Festival Lead;114;2;0,01;45,45
Tyranitar;115;2;0,01;36,36
Flareon;116;3;0,01;40,0
Mamoswine;117;3;0,01;30,0
Mega Latias;118;3;0,01;30,0
Slaking;119;2;0,01;33,33
Raging Bolt;120;2;0,01;11,11
Hydrapple;121;2;0,01;33,33
Alolan Exeggutor ex;122;1;0,0;37,5
Toxtricity Brute Bonnet;123;1;0,0;42,86
Rocket's Porygon-Z;124;1;0,0;50,0
Okidogi;125;2;0,0;20,0
Bloodmoon Ursaluna;126;1;0,0;25,0
Hydrapple Ogerpon;127;1;0,0;100,0
Milotic;128;1;0,0;33,33
Incineroar;129;1;0,0;33,33
Heatran Metang;130;1;0,0;0,0
