deck_name;rank;count;share;winrate
Mega Excadrill;1;2911;7,43;48,66
Dragapult;2;2908;7,42;53,88
Festival Lead;3;2326;5,94;50,8
Dragapult Blaziken;4;2268;5,79;52,93
Alakazam Dudunsparce;5;2259;5,77;52,99
Slowking;6;2176;5,55;52,22
Dragapult Dusknoir;7;2171;5,54;50,08
N's Zoroark;8;2030;5,18;48,02
Grimmsnarl Froslass;9;1650;4,21;51,17
Dhelmise;10;1553;3,96;48,16
Toucannon;11;1011;2,58;47,3
Raging Bolt Ogerpon;12;854;2,18;53,03
Mega Lucario;13;788;2,01;50,26
Lucario Hariyama;14;702;1,79;48,68
Basic Box;15;633;1,62;52,13
Mega Greninja;16;603;1,54;41,81
Ogerpon Meganium Hydrapple;17;547;1,4;51,57
Rocket's Honchkrow;18;499;1,27;50,72
Cynthia's Garchomp;19;478;1,22;51,48
Mega Chandelure;20;450;1,15;43,02
Beedrill;21;423;1,08;50,05
Mega Absol Box;22;379;0,97;46,9
Crustle;23;346;0,88;49,29
Rocket's Mewtwo;24;319;0,81;44,55
Kangaskhan Bouffalant;25;310;0,79;50,74
Manectric Eelektrik;26;293;0,75;42,87
Greninja;27;291;0,74;50,66
Hop's Trevenant;28;286;0,73;47,21
Ethan's Typhlosion;29;280;0,71;46,11
Starmie Froslass;30;273;0,7;48,78
Lopunny Dusknoir;31;272;0,69;49,29
Toxtricity Box;32;259;0,66;50,49
Lopunny Dudunsparce;33;254;0,65;52,68
Ceruledge;34;245;0,63;48,74
Ogerpon Meganium Arboliva;35;224;0,57;56,1
Dragapult Dudunsparce;36;222;0,57;53,93
Mega Venusaur;37;220;0,56;43,5
Mega Starmie;38;180;0,46;50,6
Starmie Dusknoir;39;180;0,46;47,39
Mega Darkrai;40;167;0,43;38,01
Cinccino;41;161;0,41;49,87
Blaziken Zoroark;42;134;0,34;47,79
Toxtricity;43;132;0,34;36,17
Steven's Metagross;44;127;0,32;49,36
Clefairy Ogerpon;45;114;0,29;48,35
Sharpedo Toxtricity;46;115;0,29;44,16
Wailord;47;112;0,28;38,65
Lillie's Clefairy;48;106;0,27;48,67
Okidogi Barbaracle;49;102;0,26;48,09
Froslass Munkidori;50;103;0,26;41,47
Mega Froslass;51;97;0,25;36,98
Mega Abomasnow;52;90;0,23;37,91
Mega Charizard X;53;86;0,22;32,08
Metagross;54;84;0,21;48,05
Flareon Noctowl;55;81;0,21;45,81
Mega Dragonite;56;79;0,2;48,6
Doublade;57;74;0,19;43,67
Tera Box;58;72;0,18;50,69
Hydreigon;59;72;0,18;35,07
Alakazam Dusknoir;60;69;0,18;50,7
Diancie Dusknoir;61;70;0,18;47,86
Hop's Zacian;62;63;0,16;45,08
Marnie's Grimmsnarl;63;64;0,16;46,36
Froslass Dudunsparce;64;57;0,15;40,69
Erika's Victreebel;65;58;0,15;39,82
Zygarde Barbaracle;66;56;0,14;47,92
Palafin;67;53;0,14;48,22
Iron Thorns;68;56;0,14;31,98
Ogerpon Meganium;69;49;0,13;40,67
Bronzong;70;43;0,11;46,33
Iono's Bellibolt;71;45;0,11;39,31
Azumarill;72;42;0,11;44,3
Ursaluna Lunatone;73;41;0,1;39,74
Archaludon;74;40;0,1;35,42
Mega Feraligatr;75;39;0,1;30,4
Yanmega;76;34;0,09;44,3
Decidueye;77;37;0,09;35,16
Mega Camerupt;78;31;0,08;33,55
Seaking Festival Lead;79;28;0,07;53,97
Rocket's Nidoking;80;24;0,06;38,14
Joltik Box;81;25;0,06;44,66
Alakazam;82;24;0,06;44,21
Archaludon Dudunsparce;83;22;0,06;35,48
Jellicent Dusknoir;84;24;0,06;42,7
Archaludon Zoroark;85;23;0,06;42,5
Sinistcha Ogerpon;86;20;0,05;56,64
Eelektrik;87;20;0,05;37,89
Dudunsparce Control;88;19;0,05;41,3
Dragapult Froslass;89;21;0,05;43,9
Greninja Blaziken;90;18;0,05;56,0
Blissey;91;18;0,05;48,65
Ethan's Magcargo;92;20;0,05;38,03
Blaziken;93;21;0,05;34,78
Mamoswine;94;19;0,05;35,38
Mega Zygarde;95;17;0,04;34,25
Terapagos Noctowl;96;17;0,04;40,85
Sylveon;97;17;0,04;33,33
Gengar;98;17;0,04;30,3
Misty's Gyarados;99;16;0,04;31,67
Paldean Tauros;100;16;0,04;51,72
Rocket's Spidops;101;14;0,04;33,96
Raging Bolt Bellibolt;102;10;0,03;42,86
Feraligatr;103;12;0,03;37,21
Mega Lopunny;104;11;0,03;35,9
Scizor;105;12;0,03;44,74
Mega Gengar;106;11;0,03;16,13
Flygon;107;10;0,03;35,48
Dragapult Zoroark;108;8;0,02;48,72
Mega Latias;109;8;0,02;34,38
Scovillain;110;6;0,02;46,88
Mega Sharpedo;111;8;0,02;28,0
Luxray;112;6;0,02;41,67
Zoroark Crustle;113;6;0,02;45,0
Mega Diancie;114;5;0,01;45,83
Dragonite Eelektrik;115;5;0,01;31,82
Cinderace;116;5;0,01;47,62
Mega Manectric;117;4;0,01;52,38
Toxtricity Brute Bonnet;118;4;0,01;52,63
Flareon;119;5;0,01;35,29
Tyranitar;120;3;0,01;30,77
Cornerstone Mask Ogerpon;121;3;0,01;16,67
Alolan Exeggutor ex;122;2;0,01;27,27
Okidogi;123;3;0,01;40,0
Rocket's Porygon-Z;124;2;0,01;40,0
Incineroar;125;2;0,01;40,0
Slaking;126;2;0,01;33,33
Raging Bolt;127;2;0,01;11,11
Bloodmoon Ursaluna;128;3;0,01;12,5
Hydrapple Ogerpon;129;2;0,01;60,0
Heatran Metang;130;2;0,01;25,0
Hydrapple;131;2;0,01;33,33
Zoroark Lucario;132;1;0,0;66,67
Milotic;133;1;0,0;33,33
Salamence;134;1;0,0;0,0
Future Box;135;1;0,0;0,0
